match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,2,214,136,84,93,66,259,6,6,3,4,0,8,1,4,0,0,1,1,622,378
1,3,0,517,59,174,3,0,106,13,0,0,1,0,23,4,4,3,0,0,0,880,120
2,1,1,177,256,59,270,66,87,4,4,5,5,0,6,1,1,0,2,1,0,672,328
3,2,0,302,354,50,54,17,205,9,7,2,2,1,12,5,5,0,2,0,2,628,372
4,3,0,157,481,63,58,38,172,6,13,0,2,3,9,5,6,1,1,0,0,800,200
5,4,0,310,337,40,65,19,192,9,4,2,2,3,8,7,4,2,1,0,0,601,399
6,3,0,189,457,0,127,59,118,14,6,0,9,2,12,1,1,0,2,0,2,427,573
7,0,0,89,176,113,262,41,230,5,4,3,4,1,4,2,2,4,8,1,11,438,562
8,1,0,402,361,5,12,122,61,4,15,1,1,4,10,2,2,1,0,0,0,487,513
9,2,2,36,401,26,272,26,135,3,18,1,4,2,8,2,2,0,3,1,0,670,330
10,1,1,255,329,104,0,46,129,5,9,2,0,4,8,4,3,0,0,1,1,841,159
11,3,0,224,470,97,0,17,129,6,11,1,0,1,9,6,5,3,0,0,1,972,28
12,2,1,213,184,150,1,4,413,3,1,5,0,1,8,3,3,0,1,0,1,395,605
13,4,1,426,137,98,29,35,256,7,3,2,2,0,10,3,5,1,0,1,1,734,266
14,2,1,262,377,30,0,0,305,6,4,2,0,0,9,4,4,0,0,0,0,854,146
15,1,0,185,251,8,0,50,461,11,12,1,0,1,20,2,1,0,0,0,1,564,436
16,2,2,284,273,21,267,0,122,4,8,2,5,0,9,0,2,2,3,0,2,508,492
17,1,2,166,287,49,135,116,208,3,9,1,2,1,10,3,4,1,0,0,1,636,364
18,1,2,288,299,37,23,43,253,3,12,0,4,3,5,4,5,1,0,0,0,596,404
19,2,0,131,368,62,34,0,313,6,14,1,2,0,15,4,4,2,0,0,0,808,192
20,3,1,185,394,47,0,0,362,5,6,0,0,0,5,7,6,1,0,0,0,781,219
21,1,0,176,334,65,44,0,351,2,10,2,7,0,12,4,3,1,1,0,1,651,349
22,3,1,110,339,12,59,0,409,7,4,0,1,0,11,2,2,1,1,0,2,635,365
23,4,0,227,378,33,60,19,234,8,8,1,4,1,15,2,3,0,1,1,1,567,433
24,2,0,153,358,77,22,64,272,8,12,1,4,5,8,4,5,1,0,3,7,720,280
25,5,0,242,373,74,110,48,66,6,7,1,6,3,10,3,6,1,1,0,1,861,139
26,2,2,242,377,0,21,21,310,13,9,0,2,1,16,2,2,0,1,1,2,545,455
27,2,2,208,339,14,89,8,242,8,12,1,3,1,16,2,1,0,0,0,0,464,536
28,3,0,170,467,2,110,0,113,10,18,0,8,0,8,3,1,1,0,0,0,297,703
29,2,0,224,515,184,25,11,10,4,5,5,3,1,2,2,7,3,0,1,0,696,304
30,3,1,130,387,44,82,122,225,1,9,0,1,2,3,2,3,0,1,0,1,694,306
31,1,1,150,228,21,56,50,455,7,4,0,2,2,7,2,3,1,2,2,0,646,354
32,1,0,189,453,54,103,82,50,8,16,0,4,1,8,8,9,3,0,1,0,683,317
33,1,0,192,35,29,44,27,642,4,4,7,3,0,14,0,0,0,1,1,2,304,696
34,2,1,219,328,8,113,1,295,18,8,1,7,0,19,3,4,1,2,1,2,254,746
35,2,2,61,385,32,68,83,361,3,11,1,1,4,12,2,0,0,0,0,0,695,305
36,3,0,64,406,44,23,29,394,2,7,2,0,2,9,3,3,2,1,1,1,590,410
37,3,1,313,165,0,110,0,295,12,9,0,2,0,9,3,5,0,2,0,1,714,286
38,1,0,302,188,1,0,384,106,7,3,0,0,11,4,3,4,1,0,0,0,967,33
39,2,0,144,0,26,76,129,44,8,0,1,0,10,2,1,0,0,1,0,0,952,48
40,1,0,156,306,0,33,1,436,7,4,0,1,0,8,1,2,0,0,1,1,240,760
41,3,0,73,504,21,0,14,281,3,9,1,0,0,13,2,1,0,0,1,0,753,247
42,0,0,39,122,0,46,15,204,5,11,0,0,4,14,0,1,0,1,0,0,888,112
43,2,0,213,365,144,21,28,140,5,11,2,0,0,11,3,3,3,2,1,0,521,479
44,0,0,237,285,68,36,14,337,3,4,1,2,2,7,5,5,1,1,0,2,678,322
45,0,0,313,271,84,85,0,111,11,32,6,5,0,11,4,4,2,3,0,2,690,310
46,2,0,357,295,52,111,29,146,3,8,0,3,1,11,5,4,2,0,0,0,804,196
47,1,2,140,325,93,23,0,366,6,9,9,1,0,27,4,3,1,1,0,0,536,464
48,2,2,106,288,104,55,108,260,5,5,1,2,1,12,1,2,1,0,2,2,773,227
49,1,0,174,468,23,13,27,277,4,10,0,0,2,6,6,4,1,1,0,1,887,113
50,3,1,388,191,4,0,6,382,3,2,0,0,0,4,2,4,1,0,1,0,613,387
51,2,0,277,421,55,35,37,86,4,30,3,2,1,11,6,10,5,0,2,3,847,153
52,1,1,208,338,4,111,5,303,6,8,1,2,0,11,6,6,0,1,1,2,693,307
