match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
86,1,0,51,156,276,0,0,488,3,2,11,0,0,8,2,2,2,0,0,0,197,803
87,1,1,444,81,201,52,0,177,9,4,0,1,0,11,2,0,3,0,0,0,140,860
88,1,0,259,268,152,3,0,289,3,3,4,0,0,12,3,3,1,1,0,1,291,709
89,1,1,190,142,235,0,18,397,3,4,8,0,3,6,6,2,5,0,0,1,243,757
90,1,0,92,113,145,9,71,528,2,2,1,0,1,10,0,2,3,1,3,3,347,653
91,0,2,218,66,457,1,0,226,3,0,5,1,0,8,0,3,4,0,0,0,252,748
92,1,3,107,209,157,0,0,473,5,7,0,0,0,11,4,2,4,0,0,0,501,499
93,0,2,129,37,72,118,140,477,3,5,6,2,2,12,1,0,0,1,3,3,576,424
94,0,2,184,292,200,84,42,196,7,1,2,0,2,8,2,3,0,1,0,0,70,930
95,0,0,550,225,62,0,0,152,5,4,1,0,0,9,6,7,1,0,0,0,1000,0
96,0,3,197,186,156,0,27,321,5,7,6,0,1,11,8,1,5,0,0,0,565,435
97,0,1,285,163,152,17,0,237,7,3,6,2,0,11,2,3,1,0,0,0,113,887
98,0,0,203,272,141,2,3,349,4,4,3,0,2,16,1,3,2,1,0,0,512,488
99,0,4,144,202,110,32,1,487,3,2,3,1,0,4,2,6,2,0,1,0,251,749
