match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,0,122,239,0,18,1,565,4,12,0,1,0,20,3,4,0,0,1,2,600,400
1,1,2,64,54,165,107,0,589,2,7,4,1,0,11,1,0,2,0,0,1,296,704
2,0,1,128,59,64,71,0,635,3,2,6,1,0,19,0,0,0,1,0,1,548,452
3,3,1,210,195,113,0,58,413,4,1,1,0,1,5,4,4,2,0,2,0,584,416
4,0,0,43,216,62,68,36,518,1,6,7,1,1,19,0,0,2,2,0,3,563,437
5,1,4,171,233,78,43,0,454,5,3,0,1,0,7,0,1,1,3,0,4,219,781
6,1,2,290,101,194,10,0,393,5,5,3,0,0,11,1,3,2,1,0,1,436,564
7,0,0,40,194,69,0,0,173,1,8,1,0,0,6,0,0,0,0,0,0,74,926
8,0,1,32,312,53,4,52,421,3,3,5,2,2,5,1,0,1,0,2,1,514,486
9,2,0,156,271,63,17,0,437,2,16,0,1,0,22,2,1,1,2,0,2,594,406
10,1,1,170,229,0,133,0,467,5,3,0,2,0,7,0,0,0,0,0,1,295,705
11,2,1,316,190,11,0,54,404,8,3,1,0,1,13,3,4,1,0,1,2,687,313
12,0,0,246,262,0,152,20,314,10,4,0,2,1,8,1,0,0,2,0,3,363,637
13,1,1,346,70,83,2,46,451,4,0,0,1,0,4,2,1,1,0,1,0,670,330
14,1,3,209,160,44,32,61,445,6,6,5,1,3,5,0,1,0,0,0,3,263,737
15,0,2,238,121,0,34,23,570,7,5,0,0,0,13,1,1,0,1,1,1,405,595
16,3,2,213,28,40,99,63,555,4,1,2,2,0,4,2,0,3,2,1,2,692,308
17,5,3,204,0,49,3,20,703,6,0,8,0,0,13,1,0,1,2,1,1,565,435
18,2,0,286,177,149,8,16,311,6,8,3,0,2,12,4,0,3,1,0,2,223,777
19,1,2,188,105,53,118,0,323,5,6,1,2,0,10,0,0,1,2,0,0,360,640
20,2,0,308,0,111,89,0,470,13,0,0,4,0,8,1,0,3,1,0,1,360,640
21,0,3,34,87,104,13,7,633,2,10,3,1,0,12,0,2,2,2,1,3,421,579
22,0,2,61,522,9,53,0,314,2,15,1,5,0,15,1,2,0,0,0,0,591,409
23,1,1,108,376,14,21,68,332,2,29,0,0,1,14,0,0,1,1,1,2,240,760
24,1,1,26,297,49,1,0,511,1,26,0,0,0,10,1,0,1,1,0,1,238,762
25,0,1,114,47,66,0,25,682,3,6,8,0,3,16,2,0,3,0,0,1,419,581
26,0,0,96,121,81,0,122,557,4,8,1,0,5,12,5,2,4,0,0,1,614,386
27,1,1,77,159,50,141,0,563,1,3,3,6,0,5,0,0,0,1,0,1,634,366
28,0,0,37,636,23,16,22,256,0,9,1,0,1,7,2,0,1,0,2,1,231,769
29,1,1,17,104,147,68,94,558,2,2,2,2,1,7,0,0,2,0,0,1,207,793
30,0,1,56,402,37,25,0,443,2,13,1,0,0,19,0,1,1,1,0,1,316,684
31,1,1,317,284,65,53,0,267,4,6,2,0,0,12,1,0,0,1,0,1,430,570
32,2,3,215,213,1,0,0,492,5,8,0,0,0,16,0,0,1,0,0,0,575,425
33,1,0,32,663,0,210,0,75,1,12,0,7,0,2,1,0,0,1,0,0,145,855
34,0,2,425,156,25,0,0,354,8,6,0,0,0,13,0,0,1,0,0,0,349,651
35,1,2,194,324,63,62,0,345,3,6,1,2,0,6,1,2,1,1,0,0,432,568
36,1,1,47,87,191,42,0,574,3,9,6,0,0,25,0,0,0,1,0,1,649,351
37,0,3,55,54,191,141,0,478,6,5,3,1,0,9,1,2,2,1,0,1,228,772
38,2,0,130,232,43,13,39,429,5,6,4,1,2,10,1,0,0,0,0,0,540,460
39,2,1,422,65,18,0,8,470,9,2,2,0,0,15,0,0,1,0,1,1,641,359
40,1,3,183,196,68,19,25,417,4,6,1,3,2,9,4,3,2,0,0,2,766,234
41,0,2,160,46,11,20,0,732,4,3,2,0,0,9,0,1,0,2,0,2,423,577
42,3,0,301,89,18,12,115,393,7,2,3,0,1,10,3,1,0,1,0,0,475,525
43,2,1,277,30,22,60,0,583,8,3,2,2,0,13,1,1,0,3,0,1,383,617
44,0,0,158,92,0,43,3,700,4,3,0,2,0,5,0,1,0,1,1,2,371,629
45,0,1,375,124,113,55,0,313,7,8,1,5,0,13,2,2,2,1,0,0,955,45
46,0,4,58,36,3,219,58,616,4,2,1,2,1,6,0,1,0,3,2,6,219,781
47,1,0,189,95,219,0,0,392,4,1,5,0,0,8,2,3,4,0,0,0,751,249
48,0,1,247,48,147,72,4,445,15,3,5,3,2,19,3,1,0,1,0,2,591,409
49,1,0,432,0,1,0,7,542,4,0,1,0,0,7,0,0,0,0,1,0,369,631
50,1,0,384,217,52,42,0,300,5,4,0,1,0,3,0,1,1,0,0,0,463,537
51,2,2,144,127,255,70,0,384,2,2,10,1,0,12,3,3,2,0,0,0,420,580
52,2,1,349,56,82,0,173,338,3,3,4,0,3,6,1,0,0,0,3,4,529,471
53,1,0,148,149,207,0,0,472,6,2,5,0,0,14,3,1,0,0,0,0,376,624
54,1,3,157,79,0,42,0,635,5,3,0,1,0,13,1,0,0,1,0,1,408,592
55,0,1,39,387,0,2,0,365,1,29,0,1,0,21,0,0,0,0,0,1,50,950
56,1,2,239,122,28,200,41,339,5,5,3,2,1,11,2,1,2,1,2,2,577,423
57,2,2,277,72,79,0,0,481,6,3,4,0,0,13,0,0,0,0,0,0,647,353
58,1,2,143,159,107,51,29,482,2,7,8,4,1,20,2,2,0,1,1,2,607,393
59,0,4,182,128,39,84,10,546,7,4,2,4,1,10,0,0,1,1,1,2,415,585
60,0,1,116,213,137,46,0,488,1,3,1,0,0,5,1,2,2,2,0,1,398,602
61,2,2,90,120,0,1,0,713,4,7,0,0,0,14,0,0,0,1,0,0,676,324
62,0,2,220,150,82,15,16,463,7,5,3,1,0,13,1,1,0,1,2,3,303,697
63,0,0,1,649,0,0,0,163,1,8,0,0,0,8,0,0,0,0,0,0,0,1000
64,4,2,358,34,131,31,47,361,6,0,4,0,1,8,4,2,2,1,0,0,739,261
65,0,6,171,141,0,40,0,637,3,1,0,0,0,6,1,1,0,1,0,1,236,764
66,2,1,118,111,41,27,0,699,3,2,1,1,0,4,1,1,1,0,0,1,316,684
67,2,1,132,72,7,73,2,462,12,5,2,1,0,14,1,1,3,3,1,3,682,318
68,0,0,168,269,0,176,0,353,3,13,0,2,0,19,3,2,0,1,0,0,778,222
69,0,1,155,228,113,0,0,489,3,7,2,0,0,14,1,4,5,0,0,0,215,785
70,1,1,58,65,62,0,387,424,3,1,0,0,0,3,0,0,1,0,1,1,202,798
71,2,1,181,176,57,0,0,574,5,7,0,0,0,9,1,1,2,0,0,0,505,495
72,2,0,237,186,90,3,15,435,7,3,0,0,0,11,0,3,4,1,1,0,624,376
73,1,0,3,0,0,47,0,949,2,0,0,0,0,2,0,0,0,2,0,2,121,879
74,1,0,87,381,1,35,60,333,1,35,0,8,1,6,2,2,1,0,1,1,222,778
75,0,1,365,46,159,21,0,370,6,1,8,2,0,12,3,1,1,0,0,0,528,472
76,0,0,35,175,0,0,0,59,0,23,0,0,0,12,0,0,0,0,0,0,0,1000
77,0,2,260,60,106,0,0,441,13,2,1,0,0,14,0,0,2,0,0,0,96,904
78,0,0,146,105,212,42,6,471,3,3,1,2,0,8,0,1,1,2,2,4,626,374
79,0,0,219,225,270,14,42,221,10,2,0,0,0,11,2,1,3,2,3,3,806,194
80,0,1,275,75,22,0,48,579,2,1,0,0,1,3,0,0,1,0,1,1,304,696
81,1,2,168,150,0,74,0,588,6,9,0,3,0,16,0,0,0,1,0,1,470,530
82,1,2,120,223,133,0,0,510,3,3,2,0,0,6,1,2,0,0,0,0,413,587
83,1,2,156,68,11,55,0,634,4,2,1,2,0,6,1,1,0,1,0,2,373,627
84,0,0,36,286,53,1,0,530,1,18,0,0,0,14,0,0,1,1,0,0,120,880
85,1,1,71,305,181,16,2,247,4,28,0,0,0,17,1,2,5,1,1,1,308,692
86,4,2,264,216,61,12,0,420,4,8,2,0,0,14,4,1,1,2,0,2,532,468
87,1,4,131,150,143,0,160,412,3,1,2,0,1,5,1,0,2,0,1,1,324,676
88,0,0,111,366,239,0,42,181,6,7,2,0,1,7,0,2,3,0,1,0,791,209
89,0,1,168,44,2,44,148,584,10,4,0,2,1,9,1,1,1,2,0,2,328,672
90,0,0,107,696,0,12,0,137,0,15,0,1,0,12,1,1,0,1,0,1,115,885
91,0,0,49,115,124,57,0,647,7,2,3,3,0,8,1,0,2,1,0,2,596,404
92,1,1,33,75,70,56,0,754,0,0,0,1,0,5,0,1,1,1,0,1,124,876
93,1,1,410,30,0,36,13,508,7,1,0,0,0,7,0,0,0,1,1,0,377,623
94,0,0,6,492,0,0,0,176,1,38,0,0,0,21,1,1,0,0,0,0,0,1000
95,2,2,217,120,1,66,5,529,4,4,1,0,1,14,0,0,0,1,0,1,493,507
96,0,2,43,99,207,88,0,442,4,6,2,1,0,15,0,1,1,4,0,3,770,230
97,0,0,15,473,84,26,0,356,1,4,3,0,0,6,0,0,0,2,0,1,826,174
98,0,1,41,518,23,0,0,377,1,12,1,0,0,12,2,0,2,0,0,0,315,685
99,0,1,87,146,287,9,1,398,4,6,9,1,1,17,3,3,2,0,0,1,666,334
