match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,1.0,1.0,87.0,349.0,1.0,198.0,105.0,90.0,7.0,14.0,0.0,4.0,4.0,3.0,4.0,7.0,1.0,2.0,1.0,3.0,620.0,380.0,0.011305147058823531,0.016268382352941174,437.0,393.0,21.0,11.0,21.0,11.0
1.0,0.0,1.0,241.0,325.0,71.0,134.0,3.0,197.0,3.0,3.0,1.0,2.0,3.0,3.0,7.0,1.0,7.0,0.0,0.0,2.0,730.0,270.0,0.13793103448275865,0.17241379310344826,637.0,334.0,7.0,8.0,7.0,8.0
2.0,0.0,0.0,275.0,599.0,32.0,81.0,0.0,5.0,4.0,2.0,1.0,4.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,719.0,281.0,0.47058823529411764,0.8235294117647058,906.0,86.0,7.0,7.0,7.0,7.0
3.0,1.0,1.0,174.0,378.0,120.0,176.0,104.0,28.0,0.0,9.0,2.0,7.0,3.0,1.0,5.0,10.0,5.0,0.0,0.0,0.0,917.0,83.0,0.06215986394557823,0.06509353741496599,672.0,308.0,11.0,11.0,11.0,11.0
4.0,0.0,1.0,83.0,439.0,8.0,54.0,223.0,173.0,7.0,4.0,1.0,2.0,3.0,8.0,2.0,1.0,0.0,1.0,3.0,1.0,373.0,627.0,0.051470588235294115,0.08547794117647059,530.0,450.0,12.0,13.0,12.0,13.0
5.0,1.0,0.0,491.0,187.0,3.0,195.0,30.0,14.0,7.0,3.0,1.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,269.0,731.0,0.7794117647058824,0.8970588235294118,681.0,239.0,11.0,9.0,11.0,9.0
6.0,0.0,1.0,50.0,491.0,100.0,41.0,60.0,176.0,3.0,3.0,4.0,3.0,1.0,10.0,0.0,2.0,3.0,1.0,1.0,1.0,393.0,607.0,0.5,0.7352941176470589,641.0,277.0,10.0,14.0,10.0,14.0
7.0,0.0,0.0,377.0,306.0,130.0,72.0,19.0,61.0,7.0,5.0,1.0,1.0,1.0,7.0,8.0,8.0,7.0,0.0,0.0,1.0,784.0,216.0,0.7058823529411765,0.7941176470588235,813.0,152.0,13.0,9.0,13.0,9.0
8.0,1.0,0.0,212.0,568.0,0.0,0.0,107.0,106.0,3.0,7.0,0.0,0.0,5.0,5.0,4.0,3.0,0.0,0.0,1.0,0.0,278.0,722.0,0.04554079696394687,0.05218216318785579,780.0,213.0,10.0,10.0,10.0,10.0
9.0,1.0,0.0,260.0,284.0,49.0,240.0,119.0,24.0,3.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,646.0,354.0,0.19327731092436973,0.2563025210084034,593.0,383.0,9.0,13.0,9.0,13.0
