match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,0.0,1.0,269.0,295.0,7.0,177.0,45.0,170.0,7.0,6.0,0.0,3.0,3.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,477.0,523.0,0.30476190476190473,0.39727891156462586,571.0,392.0,13.0,12.0,8.0,3.0
1.0,0.0,1.0,213.0,306.0,18.0,78.0,33.0,336.0,3.0,4.0,1.0,7.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,124.0,876.0,0.6274509803921569,0.6862745098039216,537.0,447.0,8.0,12.0,4.0,2.0
2.0,1.0,0.0,128.0,320.0,0.0,141.0,288.0,100.0,3.0,6.0,0.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,375.0,625.0,0.6372549019607843,0.7549019607843137,448.0,529.0,9.0,7.0,5.0,3.0
3.0,1.0,0.0,307.0,206.0,189.0,66.0,42.0,156.0,6.0,9.0,1.0,8.0,1.0,5.0,6.0,8.0,5.0,1.0,0.0,1.0,551.0,449.0,0.3080495356037152,0.3761609907120743,702.0,264.0,16.0,14.0,19.0,2.0
4.0,1.0,1.0,362.0,268.0,3.0,301.0,52.0,0.0,4.0,8.0,1.0,10.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,628.0,372.0,0.2665631469979296,0.2990683229813665,633.0,353.0,13.0,12.0,7.0,6.0
5.0,1.0,0.0,326.0,199.0,99.0,80.0,40.0,158.0,4.0,5.0,3.0,4.0,4.0,9.0,1.0,2.0,2.0,1.0,0.0,1.0,645.0,355.0,0.4764705882352941,0.6352941176470589,624.0,278.0,12.0,17.0,5.0,2.0
6.0,1.0,0.0,138.0,296.0,268.0,96.0,103.0,34.0,3.0,7.0,3.0,4.0,0.0,4.0,1.0,2.0,4.0,0.0,1.0,0.0,396.0,604.0,0.44285714285714284,0.5061224489795919,702.0,233.0,13.0,8.0,7.0,1.0
7.0,2.0,0.0,221.0,269.0,223.0,37.0,108.0,65.0,2.0,10.0,6.0,2.0,4.0,7.0,4.0,6.0,7.0,1.0,0.0,0.0,886.0,114.0,0.23113666519239276,0.31711632021229547,713.0,210.0,18.0,13.0,17.0,1.0
8.0,1.0,0.0,73.0,284.0,317.0,155.0,137.0,6.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,481.0,519.0,0.196524064171123,0.29010695187165775,674.0,298.0,10.0,7.0,11.0,1.0
9.0,0.0,0.0,139.0,272.0,51.0,230.0,137.0,158.0,4.0,6.0,4.0,7.0,2.0,7.0,1.0,1.0,0.0,3.0,3.0,2.0,618.0,382.0,0.5294117647058824,0.7058823529411765,462.0,525.0,14.0,16.0,2.0,8.0
