match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,1,482,172,49,83,0,171,8,5,1,10,0,3,4,4,2,0,0,0,933,67
1,1,1,119,184,0,7,9,616,9,9,0,0,1,18,1,0,0,1,0,0,558,442
2,0,2,537,157,0,0,0,275,9,5,0,0,0,10,1,1,0,0,0,0,717,283
3,0,3,138,193,0,19,1,573,2,5,0,1,1,6,4,3,0,1,0,2,390,610
4,2,1,190,264,64,26,0,413,9,8,2,2,0,15,2,4,3,0,0,1,767,233
5,1,0,225,232,12,8,105,376,10,7,6,2,3,21,4,6,0,0,1,2,699,301
6,2,1,162,319,0,0,31,452,4,9,0,0,1,13,1,2,0,0,0,1,535,465
7,1,1,160,123,18,114,70,393,22,12,3,13,1,27,0,0,1,2,1,4,198,802
8,1,0,238,258,5,23,42,388,7,11,1,1,4,8,2,3,0,2,0,5,674,326
9,3,0,60,303,221,0,29,347,2,4,5,0,0,15,1,1,1,0,1,0,177,823
10,0,1,304,92,71,32,53,394,9,6,3,1,2,10,6,4,4,1,0,1,325,675
11,0,0,293,201,47,56,19,283,12,16,3,3,1,28,1,5,1,2,1,1,779,221
12,0,2,131,190,60,75,0,501,18,6,1,10,0,18,1,3,1,1,0,1,699,301
13,0,0,62,417,25,0,9,401,2,21,0,0,1,26,2,2,0,0,0,1,672,328
14,3,0,261,280,32,0,77,282,15,15,6,0,8,22,6,4,0,0,0,0,712,288
15,5,0,270,196,65,40,6,344,13,7,5,2,1,17,3,4,0,1,0,2,776,224
16,0,0,293,76,162,147,0,256,14,4,19,8,0,23,6,1,4,1,0,0,298,702
17,1,0,346,198,55,19,70,182,4,8,7,4,1,14,7,4,1,0,1,0,707,293
18,1,3,146,79,14,0,14,699,11,4,5,0,1,18,0,3,0,0,1,1,675,325
19,2,1,239,130,20,187,0,372,7,6,1,9,0,10,1,1,1,5,0,4,742,258
20,1,1,234,300,52,76,0,328,5,14,2,2,0,15,2,3,2,2,0,0,586,414
21,1,2,127,109,81,103,0,496,3,6,19,3,0,24,5,3,1,2,0,4,397,603
22,2,1,75,64,0,113,0,745,4,5,0,0,0,9,0,0,0,2,0,1,460,540
23,0,0,349,263,71,8,9,275,4,5,5,0,0,10,9,8,2,1,1,0,585,415
24,0,1,171,149,24,177,0,386,3,7,1,3,0,9,2,2,0,0,0,1,319,681
25,3,1,315,173,41,8,0,440,5,1,9,1,0,10,0,2,0,0,0,0,389,611
26,1,0,283,184,64,11,0,311,14,8,1,2,0,15,3,5,2,0,0,1,547,453
27,1,1,264,273,2,3,74,353,6,12,1,0,3,16,3,3,0,1,4,2,490,510
28,0,0,118,162,389,24,22,229,6,6,4,1,0,11,7,2,5,1,0,0,449,551
29,1,0,316,230,177,2,0,257,15,4,1,1,0,19,3,2,2,0,0,0,712,288
30,3,3,310,171,63,11,0,362,6,7,1,1,0,21,2,2,0,1,0,1,412,588
31,1,3,197,185,200,19,0,364,3,11,2,3,0,10,3,1,4,0,0,0,709,291
32,0,0,255,112,1,106,168,320,11,11,1,12,1,8,1,1,0,0,1,0,659,341
33,1,3,123,67,114,0,26,610,12,6,3,0,0,23,1,1,0,0,1,0,353,647
34,0,2,157,122,148,0,72,457,7,12,12,0,11,18,1,2,1,0,1,2,411,589
35,1,1,250,209,6,109,143,220,10,13,3,3,4,8,2,2,0,0,0,2,531,469
36,1,0,44,188,56,1,0,654,4,5,2,1,0,16,1,2,0,0,0,0,330,670
37,0,2,146,115,81,0,0,561,9,5,0,0,0,12,2,1,2,0,0,0,114,886
38,0,2,270,210,60,10,0,345,12,4,6,1,0,10,4,2,3,1,0,1,685,315
39,1,0,401,111,4,139,0,193,24,6,0,8,0,18,3,3,1,1,0,0,747,253
40,0,0,26,48,178,0,0,62,3,4,0,0,0,4,0,0,1,0,0,0,88,912
41,4,3,330,254,164,0,0,189,13,6,2,0,0,20,5,3,3,0,0,0,360,640
42,3,0,316,188,47,16,64,342,10,4,2,0,1,11,3,4,0,1,0,1,422,578
43,0,1,208,424,81,91,0,149,11,11,2,9,0,18,5,11,5,1,0,0,563,437
44,1,2,210,79,30,115,0,513,5,12,1,3,0,16,0,1,0,1,0,3,382,618
45,1,0,422,136,20,0,142,203,11,8,2,0,9,11,4,3,2,0,3,4,806,194
46,0,0,328,121,0,58,5,425,8,6,0,2,1,15,3,3,0,1,0,2,561,439
47,5,1,216,234,6,32,10,365,5,9,3,1,0,20,3,5,0,5,1,3,790,210
48,1,0,331,191,0,239,0,161,26,7,0,25,0,6,0,1,0,0,0,0,836,164
49,2,2,297,232,45,0,0,408,6,4,1,0,0,10,5,5,3,0,0,0,607,393
50,0,0,153,177,44,15,0,580,6,3,1,0,0,10,1,1,0,2,0,2,249,751
51,3,2,241,245,6,0,9,426,9,6,1,0,1,15,3,2,0,0,0,0,815,185
52,1,1,186,91,64,51,0,540,8,10,1,4,0,18,2,3,1,0,0,0,731,269
53,1,0,330,108,173,2,0,358,7,4,15,0,0,23,1,0,0,1,0,0,470,530
54,1,0,204,158,52,0,1,505,21,12,1,0,1,27,5,2,1,0,0,1,331,669
55,0,1,258,169,0,64,0,415,14,14,0,5,0,26,2,3,0,2,0,4,642,358
56,1,0,96,77,56,48,39,648,9,5,2,0,1,10,0,4,0,1,1,0,194,806
57,1,1,168,119,128,82,78,402,5,5,9,3,3,14,1,3,0,1,0,1,671,329
58,2,1,268,200,95,62,80,243,6,9,4,2,3,8,4,6,1,0,1,1,873,127
59,1,3,141,179,6,43,12,566,9,9,1,0,3,19,2,1,0,0,0,1,269,731
60,2,1,82,388,96,30,0,340,8,11,2,2,0,17,3,2,1,0,0,0,483,517
61,3,0,292,342,43,41,0,269,5,6,0,4,0,9,7,5,5,2,0,4,859,141
62,3,0,343,139,2,13,1,262,17,7,2,0,1,21,2,3,0,0,0,1,289,711
63,0,2,94,272,83,97,77,266,7,8,3,8,2,11,1,2,0,1,0,0,453,547
64,1,1,186,109,24,80,0,525,11,4,1,2,0,13,1,1,0,1,0,2,604,396
65,2,0,330,196,3,0,0,426,14,9,2,0,0,15,5,4,1,0,0,0,815,185
66,1,3,298,163,55,112,0,338,16,2,4,2,0,8,9,6,4,0,0,1,628,372
67,0,0,173,238,0,36,135,375,7,7,0,0,5,10,4,2,0,1,1,1,223,777
68,2,3,112,237,56,30,92,434,5,2,1,1,0,8,1,1,1,1,1,3,625,375
69,2,0,184,294,13,171,74,212,9,17,0,3,2,12,2,1,1,2,1,4,521,479
70,0,0,58,404,0,40,1,153,4,26,0,3,1,15,1,0,0,1,0,0,182,818
71,2,1,237,286,26,0,0,431,8,5,0,0,0,14,5,6,1,0,0,0,501,499
72,1,1,416,231,32,33,0,266,14,6,0,1,0,16,4,2,2,0,0,0,826,174
73,2,4,219,71,95,68,70,294,11,11,1,3,0,29,3,0,1,1,2,2,687,313
74,2,1,358,192,28,37,0,248,8,14,2,2,0,12,2,1,2,0,0,0,601,399
75,0,1,125,194,3,4,46,352,4,18,2,1,7,11,1,2,0,0,0,2,731,269
76,0,1,236,116,122,0,114,364,12,12,2,0,8,14,4,1,4,0,0,1,268,732
77,0,1,137,248,45,31,71,338,6,13,6,2,7,9,2,6,0,1,0,1,719,281
78,1,1,260,150,22,15,0,527,7,6,1,1,0,11,3,3,1,0,0,1,494,506
79,1,0,396,220,17,7,33,231,12,20,1,3,1,24,5,6,1,0,0,1,763,237
80,1,1,155,44,153,14,63,460,8,6,12,3,4,26,3,0,2,1,2,2,436,564
81,0,0,269,97,20,8,0,512,10,7,4,2,0,26,4,2,1,0,0,0,416,584
82,5,0,307,151,95,4,0,378,16,4,3,0,0,21,4,5,1,1,0,0,499,501
83,1,0,419,54,0,23,9,447,8,6,0,0,0,17,2,2,0,1,1,2,637,363
84,0,0,168,253,80,0,0,429,6,10,1,0,0,24,3,3,1,0,0,0,425,575
85,2,0,119,279,5,123,0,421,3,8,0,2,0,12,3,4,1,3,0,1,605,395
86,0,0,182,117,87,21,0,455,9,22,1,4,0,26,1,3,3,1,0,1,541,459
87,0,1,189,39,168,42,0,523,4,6,9,1,0,12,2,2,1,0,0,1,446,554
88,2,2,251,247,13,0,34,438,7,5,0,0,1,12,2,3,0,0,0,0,143,857
