match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,1,104,101,196,0,1,543,2,2,5,0,0,9,1,4,3,0,1,1,89,911
1,1,1,247,51,94,28,71,480,5,4,2,0,0,14,1,1,2,2,1,3,417,583
2,0,2,74,122,80,1,17,669,6,10,1,1,0,17,0,1,1,0,1,1,572,428
3,0,2,47,157,156,1,0,606,1,6,9,0,0,14,0,1,0,1,0,0,214,786
4,0,2,47,281,91,18,6,491,4,5,2,0,1,12,0,1,0,1,0,0,126,874
5,1,5,182,45,86,171,35,457,5,1,2,2,0,4,1,1,1,3,1,3,332,668
6,0,0,23,312,66,72,109,377,3,7,2,4,3,7,0,1,2,1,1,5,232,768
7,0,1,219,28,232,0,0,370,3,3,12,0,0,14,6,0,7,0,0,0,608,392
8,0,1,153,51,350,0,0,297,9,2,6,0,0,23,2,2,6,0,0,0,677,323
9,3,4,98,107,209,26,4,537,5,5,5,0,1,16,1,1,0,1,0,1,178,822
10,1,0,252,223,143,75,2,271,11,1,4,2,1,13,3,5,3,1,0,1,220,780
11,0,1,357,93,123,0,0,367,2,1,1,0,0,5,2,3,2,0,0,0,531,469
12,1,3,215,26,175,0,61,510,5,1,7,0,1,15,0,2,3,0,1,1,593,407
13,0,0,58,209,254,0,0,435,1,6,4,0,0,5,3,3,7,0,0,0,34,966
14,0,0,28,205,85,48,0,484,3,8,3,3,0,10,0,0,0,0,0,1,412,588
15,1,1,59,140,157,0,0,597,5,0,5,0,0,13,0,5,3,0,0,0,342,658
16,2,3,80,275,157,19,11,423,3,11,4,2,0,9,2,6,5,0,1,1,690,310
17,0,1,275,237,161,3,0,305,14,2,2,1,0,13,5,7,3,0,0,0,22,978
18,1,0,373,214,35,148,62,140,5,6,5,6,1,8,2,4,0,0,0,1,376,624
19,1,1,200,100,269,22,30,375,0,3,6,0,2,5,3,5,6,0,0,1,433,567
20,0,2,57,85,154,0,84,531,7,1,8,0,3,14,0,1,2,0,0,1,793,207
21,0,1,62,411,269,56,0,179,0,3,3,2,0,2,1,2,1,0,0,0,338,662
22,0,1,114,147,238,37,110,351,1,2,1,0,1,3,1,2,1,1,1,2,507,493
23,1,0,80,339,309,23,0,212,3,11,3,1,0,10,3,9,6,0,0,1,800,200
24,0,1,25,156,200,45,0,484,3,10,7,1,0,17,2,3,2,7,0,5,340,660
25,0,2,105,212,64,52,65,434,6,4,2,0,1,11,0,2,0,2,2,2,360,640
26,0,3,171,101,5,40,130,528,4,4,3,3,0,7,3,3,0,0,1,1,241,759
27,1,1,90,206,260,0,0,342,3,1,7,0,0,11,2,3,3,0,0,0,297,703
28,0,0,379,103,228,0,3,178,6,1,4,0,1,9,6,2,7,0,1,1,889,111
29,1,2,112,246,167,12,0,399,5,9,5,1,0,11,3,1,3,1,0,2,507,493
30,0,0,0,42,0,948,0,9,0,0,0,2,0,0,0,0,0,1,0,1,0,1000
31,0,1,83,479,134,29,0,248,2,4,3,0,0,10,3,7,4,0,0,1,0,1000
32,1,1,155,188,280,0,0,281,4,6,11,0,0,9,2,5,3,0,0,0,788,212
33,0,2,169,82,244,32,3,434,4,3,9,1,1,12,2,4,5,2,0,2,203,797
34,1,0,160,285,212,153,0,119,9,12,4,5,0,10,4,3,1,1,0,0,705,295
35,0,1,91,16,290,0,20,554,3,0,5,0,0,9,1,0,1,0,1,0,393,607
36,0,0,35,95,550,0,11,293,1,3,9,0,1,11,1,3,4,0,1,0,79,921
37,0,3,150,223,161,75,68,316,5,4,3,4,0,11,2,3,2,0,1,1,640,360
38,0,1,149,400,51,97,4,293,5,5,1,5,0,6,2,2,0,0,1,1,142,858
39,1,1,86,288,266,0,0,265,10,5,10,0,0,14,6,5,7,0,0,0,392,608
40,0,1,197,329,111,19,0,325,0,2,6,0,0,13,4,3,1,1,0,1,138,862
41,0,0,228,307,6,0,0,431,7,6,0,0,0,15,2,3,2,0,0,0,0,1000
42,0,0,144,119,277,90,1,226,7,5,11,9,1,8,2,0,4,2,0,2,669,331
43,1,1,196,130,262,269,26,101,6,2,14,10,2,4,2,1,2,1,0,1,695,305
44,0,6,132,125,175,67,0,493,2,7,2,0,0,6,2,2,5,2,0,2,321,679
45,1,2,226,112,20,93,0,525,9,4,3,2,0,11,1,3,0,1,0,0,356,644
46,1,1,67,164,140,12,0,601,2,2,3,0,0,6,1,1,2,1,0,1,417,583
47,0,2,128,184,248,20,0,385,6,5,1,3,0,10,0,2,2,0,0,0,335,665
48,0,6,123,168,98,35,94,473,2,2,2,2,1,7,1,0,3,4,2,5,262,738
49,0,4,109,59,192,52,5,555,6,4,3,7,1,10,3,1,3,2,1,2,273,727
