match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,0.0,0.0,248.0,256.0,100.0,35.0,16.0,189.0,2.0,3.0,2.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,638.0,362.0,0.5588235294117647,0.7647058823529411,604.0,240.0,7.0,7.0,4.0,3.0
1.0,1.0,0.0,269.0,295.0,76.0,216.0,0.0,131.0,6.0,4.0,0.0,10.0,0.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,176.0,824.0,0.5392156862745098,0.7745098039215685,640.0,347.0,10.0,11.0,9.0,4.0
2.0,0.0,0.0,311.0,275.0,8.0,70.0,204.0,38.0,7.0,10.0,1.0,8.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,338.0,662.0,0.5294117647058824,0.7352941176470589,594.0,312.0,18.0,15.0,5.0,4.0
3.0,0.0,0.0,172.0,235.0,21.0,386.0,0.0,81.0,4.0,18.0,0.0,22.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,873.0,127.0,0.7352941176470589,0.8529411764705882,428.0,467.0,22.0,24.0,5.0,0.0
4.0,0.0,0.0,615.0,202.0,46.0,33.0,18.0,60.0,6.0,5.0,2.0,3.0,2.0,3.0,8.0,5.0,3.0,0.0,0.0,0.0,537.0,463.0,0.7941176470588235,0.9117647058823529,863.0,111.0,13.0,8.0,16.0,0.0
5.0,1.0,0.0,316.0,396.0,123.0,42.0,0.0,87.0,7.0,3.0,0.0,0.0,0.0,4.0,5.0,8.0,3.0,1.0,0.0,1.0,780.0,220.0,0.36877828054298645,0.46153846153846156,835.0,129.0,10.0,4.0,16.0,2.0
6.0,0.0,0.0,119.0,359.0,114.0,0.0,92.0,282.0,4.0,5.0,2.0,0.0,2.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,114.0,886.0,0.5588235294117647,0.7647058823529411,592.0,374.0,11.0,7.0,9.0,0.0
7.0,2.0,0.0,161.0,388.0,115.0,128.0,127.0,34.0,6.0,15.0,4.0,8.0,15.0,1.0,4.0,3.0,2.0,0.0,0.0,1.0,487.0,513.0,0.2875,0.2877164502164502,664.0,289.0,25.0,24.0,9.0,1.0
8.0,1.0,0.0,228.0,195.0,149.0,105.0,0.0,192.0,2.0,9.0,6.0,6.0,0.0,5.0,8.0,7.0,1.0,2.0,0.0,3.0,1000.0,0.0,0.45751633986928103,0.6993464052287582,572.0,297.0,17.0,11.0,16.0,5.0
9.0,3.0,1.0,357.0,203.0,63.0,188.0,58.0,64.0,5.0,4.0,0.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,556.0,444.0,0.11336506226053639,0.1689605284163474,623.0,310.0,9.0,9.0,9.0,1.0
10.0,1.0,0.0,218.0,469.0,46.0,155.0,55.0,0.0,5.0,4.0,3.0,10.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,766.0,234.0,0.5117647058823529,0.7294117647058824,733.0,210.0,12.0,12.0,5.0,0.0
11.0,1.0,1.0,92.0,359.0,141.0,63.0,83.0,243.0,3.0,6.0,1.0,2.0,2.0,8.0,1.0,4.0,5.0,0.0,1.0,1.0,200.0,800.0,0.5157142857142857,0.5764285714285714,592.0,389.0,10.0,12.0,10.0,2.0
12.0,3.0,0.0,215.0,215.0,215.0,72.0,1.0,196.0,7.0,6.0,9.0,12.0,1.0,18.0,2.0,2.0,0.0,1.0,0.0,2.0,104.0,896.0,0.08903061224489797,0.11768140589569161,645.0,269.0,22.0,31.0,4.0,3.0
13.0,1.0,0.0,471.0,130.0,125.0,0.0,153.0,112.0,5.0,3.0,0.0,0.0,2.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,873.0,127.0,0.5625,0.6948529411764706,726.0,265.0,8.0,7.0,6.0,1.0
14.0,0.0,1.0,454.0,315.0,33.0,0.0,46.0,131.0,1.0,7.0,5.0,0.0,4.0,3.0,4.0,6.0,3.0,0.0,0.0,0.0,464.0,536.0,0.39705882352941174,0.6078431372549019,802.0,177.0,13.0,7.0,13.0,0.0
15.0,0.0,0.0,16.0,251.0,190.0,128.0,97.0,227.0,3.0,2.0,6.0,9.0,0.0,8.0,1.0,2.0,2.0,2.0,0.0,3.0,426.0,574.0,0.4411764705882353,0.7352941176470589,457.0,452.0,11.0,17.0,5.0,5.0
16.0,0.0,0.0,40.0,285.0,91.0,396.0,0.0,130.0,3.0,7.0,1.0,8.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,1.0,459.0,541.0,0.6176470588235294,0.7941176470588235,416.0,526.0,11.0,13.0,5.0,1.0
17.0,1.0,1.0,329.0,163.0,45.0,243.0,50.0,164.0,5.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,1.0,0.0,1.0,311.0,689.0,0.1271585557299843,0.18437990580847724,537.0,457.0,11.0,9.0,11.0,2.0
18.0,0.0,0.0,268.0,310.0,72.0,105.0,7.0,230.0,0.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,410.0,590.0,0.7058823529411765,0.8235294117647058,650.0,342.0,5.0,7.0,5.0,3.0
19.0,1.0,1.0,217.0,199.0,226.0,59.0,62.0,175.0,10.0,11.0,4.0,10.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,0.0,776.0,224.0,0.0025806451612903226,0.03303225806451613,642.0,296.0,25.0,21.0,6.0,2.0
20.0,0.0,1.0,95.0,133.0,454.0,97.0,55.0,163.0,3.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,577.0,423.0,0.42745098039215684,0.4627450980392157,682.0,315.0,7.0,7.0,4.0,1.0
21.0,0.0,1.0,378.0,332.0,104.0,42.0,33.0,72.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,286.0,714.0,0.4852941176470588,0.784313725490196,814.0,147.0,5.0,5.0,10.0,0.0
22.0,1.0,0.0,173.0,433.0,33.0,215.0,46.0,24.0,5.0,8.0,0.0,4.0,1.0,2.0,7.0,4.0,2.0,0.0,0.0,0.0,439.0,561.0,0.5828571428571429,0.7314285714285714,639.0,285.0,13.0,7.0,13.0,0.0
23.0,1.0,0.0,158.0,296.0,178.0,195.0,15.0,82.0,7.0,3.0,8.0,4.0,2.0,12.0,2.0,2.0,0.0,3.0,0.0,2.0,320.0,680.0,0.4411764705882353,0.5588235294117647,632.0,292.0,18.0,18.0,4.0,5.0
24.0,0.0,1.0,21.0,283.0,185.0,298.0,0.0,115.0,2.0,1.0,4.0,4.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,305.0,695.0,0.3357843137254902,0.48774509803921573,489.0,413.0,7.0,7.0,4.0,3.0
25.0,1.0,0.0,146.0,160.0,61.0,76.0,433.0,90.0,4.0,5.0,2.0,4.0,8.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,336.0,664.0,0.25386996904024767,0.4040247678018576,367.0,599.0,11.0,16.0,6.0,6.0
