match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,3,191,107,66,0,0,562,10,6,2,0,0,16,5,4,1,0,0,0,339,661
1,1,1,166,218,0,66,18,410,10,17,0,10,1,25,2,1,0,2,0,1,828,172
2,3,1,238,186,0,0,85,465,1,15,0,0,2,12,5,2,0,0,2,2,717,283
3,0,3,16,279,75,86,68,416,7,4,7,1,3,18,0,3,2,1,1,1,534,466
4,1,2,25,342,56,130,0,391,3,13,1,2,0,28,1,1,0,2,0,2,690,310
5,0,1,162,416,0,1,0,412,3,4,0,1,0,5,1,1,0,0,0,0,464,536
6,0,0,99,209,0,6,27,592,2,11,0,1,3,23,1,2,0,0,1,3,442,558
7,4,3,180,218,18,18,0,524,8,10,0,3,0,14,2,2,1,1,0,2,444,556
8,0,2,93,136,24,95,53,542,6,11,5,1,4,18,2,2,1,4,0,4,495,505
9,1,1,120,234,41,31,12,544,5,4,2,0,1,8,0,2,0,1,1,2,540,460
10,1,1,172,377,13,0,19,307,4,7,0,0,1,8,2,2,3,0,1,1,381,619
11,0,0,129,325,169,0,33,297,5,8,4,0,1,12,6,5,6,0,1,1,856,144
12,0,2,283,179,0,7,12,504,3,5,0,0,1,8,3,1,0,1,0,2,350,650
13,1,1,274,177,8,128,0,319,22,9,0,3,0,34,4,5,1,5,0,5,360,640
14,0,0,12,225,0,64,0,217,3,8,0,10,0,12,0,0,0,2,0,3,737,263
15,0,0,491,227,0,0,0,228,7,13,0,0,0,16,1,0,0,0,0,0,263,737
16,3,1,86,555,10,70,40,237,2,10,1,3,3,9,2,2,0,3,0,4,427,573
17,1,1,130,213,1,30,0,606,5,10,0,1,0,14,2,4,1,0,0,0,241,759
18,0,2,29,81,22,47,7,797,2,6,1,1,3,7,0,0,0,3,1,5,429,571
19,3,1,195,311,52,0,23,382,4,8,2,0,2,17,6,5,2,0,1,3,860,140
20,1,1,232,284,10,25,0,316,19,9,6,1,0,33,2,3,0,2,0,0,618,382
21,1,0,104,481,7,9,0,370,9,6,1,1,0,15,2,2,0,1,0,1,417,583
22,1,0,140,235,61,0,79,464,5,3,5,0,1,12,3,3,3,0,1,1,757,243
23,1,2,313,155,90,84,0,337,6,6,1,0,0,10,1,3,1,2,0,0,761,239
24,2,2,71,260,127,0,11,514,3,4,5,0,3,9,3,2,2,0,0,1,385,615
25,1,0,269,239,0,50,0,412,5,2,0,1,0,7,5,6,0,1,0,2,823,177
26,0,2,223,265,0,9,0,462,8,5,0,0,0,19,1,2,0,1,0,1,885,115
27,3,1,89,304,19,15,0,533,5,13,0,1,0,21,2,1,1,1,0,0,532,468
28,1,1,137,90,40,7,16,656,4,16,4,0,0,22,3,3,0,1,1,2,500,500
29,0,0,341,127,0,111,0,408,5,3,0,2,0,9,0,0,0,2,0,1,227,773
30,1,1,139,151,18,51,0,570,13,3,0,0,0,27,0,1,1,1,0,1,302,698
31,0,0,126,375,0,5,70,391,5,6,0,2,1,13,1,0,0,0,0,0,361,639
32,4,1,201,372,14,0,53,315,2,13,1,0,7,6,2,1,0,0,0,0,785,215
33,0,0,166,142,48,20,10,589,8,4,5,0,2,11,3,3,1,1,0,3,557,443
34,1,1,212,165,171,0,6,434,4,8,1,0,1,12,5,3,4,0,0,0,447,553
35,0,1,122,294,91,70,167,211,4,19,6,10,3,8,4,3,2,0,0,1,808,192
36,0,0,208,157,41,33,47,337,10,15,3,6,0,28,1,1,0,0,1,1,428,572
37,0,0,149,218,10,298,0,257,21,5,2,24,0,6,2,1,0,2,0,1,736,264
38,0,2,218,271,110,11,13,346,6,9,0,0,2,14,0,3,2,2,0,0,658,342
39,0,1,214,230,113,39,18,287,3,13,0,1,1,20,3,2,3,0,0,1,395,605
40,2,1,59,377,11,8,27,494,3,6,3,1,5,11,2,2,0,0,0,3,551,449
41,2,3,263,76,79,30,48,470,3,3,3,0,2,16,0,0,0,1,0,2,221,779
42,0,2,350,87,36,82,0,350,32,9,1,7,0,11,1,5,0,2,0,3,220,780
43,2,3,334,97,34,6,0,467,11,2,1,1,0,30,3,1,0,2,0,1,384,616
44,1,2,152,142,8,0,49,609,6,6,3,0,3,12,2,2,0,0,1,1,461,539
45,1,0,234,243,57,19,0,438,3,7,1,1,0,9,6,6,1,1,0,0,729,271
46,2,2,219,302,0,40,0,416,7,8,0,2,0,18,3,3,0,0,0,1,676,324
47,2,1,198,251,19,26,0,444,15,11,3,4,0,25,3,5,3,2,0,3,851,149
48,0,0,6,546,302,60,0,64,2,4,9,6,0,4,1,1,3,0,0,1,358,642
49,6,3,330,335,69,0,0,167,3,4,2,0,0,7,4,6,1,0,0,0,679,321
50,1,1,117,240,0,0,0,514,8,6,0,0,0,33,0,1,0,0,0,0,463,537
51,2,1,174,74,7,175,0,525,18,8,1,19,0,11,1,3,1,0,0,0,808,192
52,3,0,374,125,5,6,0,404,3,9,2,2,0,21,2,1,0,1,0,0,455,545
53,1,1,213,153,2,206,0,360,9,16,2,18,0,10,0,2,0,2,0,3,907,93
54,1,0,299,180,123,83,1,281,4,8,4,2,0,13,1,1,2,0,1,1,731,269
55,3,0,424,196,65,88,48,92,4,9,3,6,5,5,3,4,1,2,0,2,958,42
56,0,2,175,249,36,0,0,481,7,17,0,0,0,31,6,2,2,0,0,0,795,205
57,2,0,284,240,86,174,13,165,13,6,3,10,3,7,3,2,4,2,0,0,790,210
58,0,1,139,125,107,0,33,570,7,4,1,0,1,15,1,1,0,0,0,0,280,720
59,0,1,181,119,104,0,0,578,7,2,1,0,0,13,1,2,2,0,0,0,120,880
60,1,1,240,180,0,0,7,531,3,16,0,0,0,21,1,0,0,0,1,1,475,525
61,2,1,61,220,55,34,0,593,2,9,1,0,0,22,3,2,2,1,0,1,544,456
62,1,1,249,402,47,55,9,210,2,9,1,1,5,5,5,4,0,1,0,1,303,697
63,2,1,92,248,41,144,54,411,1,11,1,1,3,9,1,1,0,2,1,2,682,318
64,1,1,267,296,14,0,32,321,8,7,1,0,0,23,1,1,0,0,1,1,150,850
65,1,3,346,231,17,103,1,279,3,7,2,1,1,9,4,2,1,1,0,0,486,514
66,0,0,206,114,117,109,0,352,3,13,0,7,0,16,2,2,0,2,0,2,697,303
67,1,1,48,327,53,13,0,433,2,14,2,2,0,24,3,1,1,1,0,0,169,831
68,1,0,169,282,1,33,4,389,4,16,1,1,0,18,0,1,0,1,1,2,323,677
69,2,1,167,197,86,94,14,378,8,9,2,4,1,15,3,3,1,1,0,1,244,756
70,0,2,129,241,141,85,45,318,8,11,3,1,2,20,2,1,1,3,1,2,622,378
71,0,1,262,134,202,7,2,316,6,4,5,0,1,18,2,4,4,1,0,0,210,790
72,1,1,134,122,55,63,0,608,4,4,0,0,0,9,4,4,2,1,0,0,164,836
73,0,0,123,305,16,1,36,460,1,6,2,1,2,18,2,3,0,0,4,2,510,490
74,0,0,77,60,0,0,0,441,9,9,0,0,0,33,0,0,0,0,0,0,40,960
75,1,1,205,82,0,47,23,335,7,5,0,5,1,13,1,2,0,1,1,1,688,312
76,2,0,102,311,71,80,0,403,6,5,4,0,0,16,3,3,0,1,0,0,680,320
77,2,0,333,120,109,63,47,291,10,5,4,4,2,17,4,2,1,3,0,2,653,347
78,0,0,204,197,0,116,15,412,6,11,0,3,1,16,2,2,0,3,0,2,486,514
79,2,2,272,174,53,27,48,385,13,10,3,5,4,13,3,3,0,0,1,3,376,624
80,1,0,120,407,6,41,34,323,6,15,0,3,9,11,0,2,1,1,0,2,718,282
81,0,0,76,373,0,77,2,436,2,11,0,3,1,12,2,1,0,2,0,5,292,708
82,2,1,193,105,6,37,42,565,7,3,1,0,0,17,1,2,1,2,1,1,614,386
83,1,1,274,170,6,87,0,382,18,8,1,8,0,13,0,2,0,0,0,1,127,873
84,0,0,209,289,0,0,0,463,9,7,0,0,0,18,1,1,0,0,0,0,428,572
85,3,0,137,205,0,1,40,601,2,6,0,1,2,4,3,2,0,0,0,0,507,493
86,2,0,260,457,0,33,0,174,4,10,0,1,0,12,4,2,0,0,0,1,669,331
87,0,1,131,227,0,15,11,448,17,9,0,4,1,20,0,1,0,1,0,1,416,584
88,1,0,156,107,0,0,1,728,4,7,0,0,0,13,0,0,0,0,1,1,855,145
89,1,0,139,204,55,41,0,437,4,17,3,1,0,29,4,5,2,1,0,2,489,511
90,3,1,183,509,6,0,0,276,3,6,1,0,0,10,4,5,1,0,0,0,583,417
