match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,1.0,0.0,230.0,134.0,46.0,251.0,39.0,160.0,4.0,4.0,9.0,5.0,0.0,9.0,3.0,2.0,2.0,3.0,1.0,0.0,647.0,353.0,0.5294117647058824,0.7941176470588235,410.0,450.0,17.0,14.0,7.0,4.0
1.0,1.0,0.0,62.0,593.0,158.0,5.0,81.0,51.0,1.0,4.0,2.0,3.0,0.0,1.0,2.0,9.0,8.0,0.0,1.0,0.0,891.0,109.0,0.7647058823529411,0.8529411764705882,813.0,137.0,7.0,4.0,19.0,1.0
2.0,0.0,0.0,390.0,281.0,18.0,14.0,21.0,246.0,8.0,10.0,2.0,0.0,2.0,14.0,2.0,3.0,2.0,1.0,0.0,0.0,609.0,391.0,0.5882352941176471,0.7941176470588235,689.0,281.0,20.0,16.0,7.0,1.0
3.0,3.0,0.0,197.0,441.0,13.0,71.0,260.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,404.0,596.0,0.5428571428571428,0.6857142857142857,651.0,331.0,10.0,6.0,11.0,0.0
4.0,1.0,1.0,304.0,297.0,95.0,40.0,135.0,94.0,4.0,5.0,1.0,2.0,5.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0,628.0,372.0,0.6764705882352942,0.8823529411764706,696.0,269.0,10.0,9.0,16.0,0.0
5.0,1.0,0.0,285.0,416.0,63.0,6.0,0.0,212.0,1.0,6.0,0.0,2.0,0.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0,700.0,300.0,0.7058823529411765,0.8529411764705882,764.0,218.0,7.0,5.0,13.0,0.0
6.0,0.0,0.0,520.0,110.0,98.0,17.0,124.0,117.0,5.0,1.0,2.0,0.0,3.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,276.0,724.0,0.7941176470588235,0.8823529411764706,728.0,258.0,8.0,8.0,11.0,2.0
7.0,1.0,1.0,170.0,470.0,46.0,133.0,9.0,65.0,1.0,4.0,0.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,0.0,1.0,232.0,768.0,0.7647058823529411,0.8823529411764706,686.0,207.0,5.0,5.0,9.0,2.0
8.0,1.0,0.0,242.0,361.0,133.0,1.0,37.0,43.0,5.0,3.0,0.0,1.0,1.0,0.0,6.0,7.0,6.0,0.0,0.0,1.0,719.0,281.0,0.5714285714285714,0.8285714285714286,736.0,81.0,8.0,2.0,19.0,1.0
9.0,0.0,0.0,340.0,286.0,101.0,0.0,174.0,67.0,3.0,2.0,3.0,0.0,2.0,2.0,7.0,4.0,4.0,0.0,0.0,0.0,720.0,280.0,0.6470588235294118,0.8529411764705882,727.0,241.0,8.0,4.0,15.0,0.0
10.0,1.0,1.0,352.0,238.0,81.0,70.0,139.0,11.0,8.0,9.0,2.0,3.0,2.0,1.0,10.0,11.0,3.0,1.0,0.0,0.0,488.0,512.0,0.5142857142857142,0.7428571428571429,671.0,220.0,19.0,6.0,24.0,1.0
11.0,2.0,0.0,368.0,207.0,45.0,0.0,296.0,35.0,9.0,5.0,1.0,0.0,10.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,719.0,281.0,0.5714285714285714,0.7714285714285715,620.0,331.0,15.0,12.0,11.0,0.0
12.0,0.0,0.0,96.0,483.0,351.0,0.0,8.0,50.0,1.0,2.0,2.0,0.0,0.0,2.0,4.0,5.0,5.0,0.0,0.0,0.0,567.0,433.0,0.7058823529411765,0.8235294117647058,930.0,58.0,5.0,2.0,14.0,0.0
13.0,1.0,0.0,468.0,447.0,17.0,11.0,0.0,50.0,5.0,0.0,1.0,1.0,0.0,1.0,5.0,7.0,2.0,0.0,0.0,0.0,610.0,390.0,0.5142857142857142,0.7428571428571429,932.0,61.0,6.0,2.0,14.0,0.0
14.0,0.0,0.0,282.0,260.0,161.0,111.0,131.0,15.0,12.0,3.0,5.0,11.0,2.0,2.0,11.0,6.0,12.0,0.0,1.0,0.0,232.0,768.0,0.6470588235294118,0.7941176470588235,703.0,257.0,20.0,15.0,29.0,1.0
15.0,1.0,0.0,401.0,152.0,188.0,0.0,1.0,208.0,8.0,3.0,2.0,0.0,1.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,439.0,561.0,0.5882352941176471,0.8529411764705882,741.0,209.0,13.0,7.0,15.0,0.0
16.0,2.0,0.0,332.0,349.0,197.0,84.0,24.0,8.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,6.0,4.0,0.0,0.0,0.0,518.0,482.0,0.5142857142857142,0.7714285714285715,878.0,116.0,7.0,5.0,15.0,0.0
17.0,1.0,2.0,180.0,270.0,213.0,141.0,73.0,116.0,2.0,3.0,2.0,2.0,1.0,3.0,6.0,7.0,9.0,0.0,2.0,0.0,415.0,585.0,0.5555555555555556,0.7222222222222222,663.0,330.0,7.0,6.0,22.0,2.0
18.0,0.0,0.0,302.0,502.0,123.0,45.0,0.0,16.0,3.0,4.0,4.0,1.0,0.0,0.0,7.0,9.0,5.0,0.0,0.0,0.0,744.0,256.0,0.5882352941176471,0.8823529411764706,927.0,61.0,11.0,1.0,21.0,0.0
19.0,3.0,0.0,357.0,539.0,56.0,27.0,15.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,12.0,10.0,1.0,0.0,1.0,0.0,956.0,44.0,0.5714285714285714,0.8285714285714286,952.0,42.0,2.0,2.0,23.0,1.0
20.0,0.0,0.0,195.0,233.0,429.0,0.0,109.0,22.0,3.0,3.0,2.0,0.0,7.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,451.0,549.0,0.7058823529411765,0.8529411764705882,857.0,131.0,8.0,8.0,11.0,0.0
21.0,1.0,1.0,563.0,116.0,151.0,0.0,108.0,35.0,5.0,3.0,2.0,0.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,764.0,236.0,0.45714285714285713,0.6857142857142857,830.0,143.0,10.0,4.0,9.0,1.0
22.0,1.0,0.0,478.0,307.0,149.0,37.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,304.0,696.0,0.7647058823529411,0.8529411764705882,934.0,65.0,3.0,1.0,16.0,0.0
23.0,1.0,1.0,310.0,161.0,139.0,0.0,9.0,381.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,40.0,960.0,0.7428571428571429,0.8571428571428571,610.0,390.0,3.0,3.0,6.0,0.0
