match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,2,118,437,188,70,0,154,4,3,3,3,0,5,486,514
1,0,2,224,169,216,28,0,316,4,6,7,6,0,9,88,912
2,0,3,116,354,106,56,0,286,2,26,1,2,0,4,135,865
3,0,0,180,151,41,155,8,382,5,4,0,1,0,10,264,736
4,0,3,204,93,172,49,0,480,3,4,1,0,0,7,171,829
5,0,1,439,100,93,10,0,299,6,0,1,1,0,7,714,286
6,1,1,369,167,91,3,0,339,5,1,0,0,0,6,908,92
7,0,1,218,337,121,0,0,305,4,3,5,0,0,13,385,615
8,3,0,226,284,287,0,0,142,3,11,8,0,0,11,730,270
9,2,2,168,197,186,64,0,308,8,5,10,7,0,12,552,448
10,0,0,437,162,199,0,0,181,5,2,5,0,0,7,733,267
11,2,1,412,135,99,0,0,312,7,4,3,0,0,10,259,741
12,3,1,110,150,4,116,22,517,4,6,1,4,0,6,499,501
13,0,0,92,204,207,221,0,259,3,2,5,2,0,11,282,718
14,0,3,52,135,134,54,0,576,4,3,4,2,0,12,167,833
15,0,0,37,327,165,40,0,417,1,8,5,0,0,6,74,926
16,0,1,45,129,188,10,0,574,2,7,6,1,0,13,125,875
17,0,1,192,113,196,65,6,384,4,8,5,2,0,11,394,606
18,1,1,61,158,426,27,0,296,2,5,6,1,0,14,580,420
19,0,2,44,0,273,0,0,603,2,0,12,0,0,10,416,584
20,0,0,251,221,337,12,0,118,2,6,6,2,0,7,130,870
21,2,0,392,251,14,0,0,334,7,5,3,0,0,15,577,423
22,0,3,22,194,100,0,37,543,5,1,7,0,0,14,681,319
23,1,1,169,192,206,0,6,374,3,4,8,0,1,10,555,445
24,0,0,144,304,144,0,0,373,3,7,3,0,0,9,47,953
25,0,2,124,116,182,0,126,412,5,8,6,0,8,8,740,260
26,0,1,114,310,288,0,0,253,3,5,8,0,0,11,41,959
27,1,0,107,301,99,0,0,325,10,7,0,0,0,11,78,922
28,1,1,250,170,77,0,3,467,10,6,1,0,0,15,792,208
29,1,0,94,61,270,128,0,412,2,3,11,2,0,15,327,673
30,0,0,158,286,109,0,0,446,4,2,1,0,0,6,37,963
31,1,1,0,170,455,60,0,303,0,4,9,1,0,8,136,864
32,0,0,205,436,260,0,0,69,2,4,0,0,0,1,1000,0
33,0,3,84,109,193,86,0,505,1,8,7,0,0,16,500,500
34,0,0,3,189,373,13,0,408,2,5,7,0,0,9,135,865
35,1,2,83,18,64,10,32,732,12,3,4,0,1,15,493,507
36,1,0,340,64,412,11,0,123,6,4,12,1,0,8,897,103
37,1,1,118,273,234,0,87,273,3,4,1,0,2,8,280,720
38,0,1,52,192,171,69,0,507,1,3,5,0,0,11,115,885
39,0,3,164,78,132,50,42,459,9,2,5,1,5,8,133,867
40,0,1,13,103,61,356,2,456,0,5,2,2,1,3,328,672
41,2,0,56,167,311,71,44,322,2,4,9,0,0,18,411,589
42,1,0,110,125,242,178,0,326,4,2,5,4,0,10,286,714
43,2,0,94,236,125,54,46,428,2,5,7,0,3,7,574,426
44,4,0,239,91,154,51,9,410,10,3,5,3,1,22,348,652
45,1,1,85,149,276,0,6,445,7,7,5,0,1,18,333,667
46,1,1,83,450,113,12,16,292,3,4,5,1,0,8,70,930
47,0,3,133,86,250,37,43,426,6,3,5,1,1,18,594,406
48,0,1,334,0,202,12,71,348,12,0,2,1,4,15,469,531
49,0,1,297,0,322,0,0,369,6,0,6,0,0,13,191,809
