match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,2,0,104,448,8,79,31,291,2,14,1,3,2,12,4,4,0,4,1,3,359,641
1,2,0,415,271,9,12,0,280,4,6,0,2,0,11,5,5,1,0,0,0,682,318
2,2,1,287,141,73,172,11,228,23,9,6,15,4,13,3,3,3,0,0,0,760,240
3,0,2,268,245,47,46,43,303,18,3,2,0,1,26,2,4,0,1,0,1,722,278
4,0,0,65,237,84,200,9,375,6,4,4,1,1,5,4,1,3,4,0,5,545,455
5,0,0,237,214,115,0,0,395,6,12,10,0,0,23,6,3,6,0,0,0,481,519
6,1,0,233,323,30,5,0,343,8,9,1,0,0,19,2,3,1,1,0,1,663,337
7,0,0,173,118,47,1,49,584,5,8,5,0,0,18,5,5,2,1,1,0,504,496
8,1,1,218,258,19,20,0,457,8,7,1,1,0,16,4,3,2,0,0,1,250,750
9,0,2,127,338,197,155,0,182,2,4,1,2,0,3,7,5,4,0,0,1,302,698
10,1,0,138,246,22,68,0,479,9,6,2,3,0,16,1,3,0,2,0,3,635,365
11,0,1,259,280,70,45,0,304,15,6,1,3,0,21,4,4,0,0,0,1,876,124
12,3,1,257,138,142,13,0,409,8,5,4,0,0,21,4,6,8,2,0,1,350,650
13,1,0,288,84,20,88,10,418,5,6,1,2,0,16,1,2,1,1,1,1,807,193
14,2,0,236,190,122,0,0,407,13,8,4,0,0,27,1,5,3,0,0,0,739,261
15,1,2,111,114,48,11,0,629,2,17,0,1,0,17,3,0,0,2,0,1,273,727
16,2,1,191,346,27,70,10,287,8,9,4,1,2,20,4,2,0,0,0,1,641,359
17,4,0,139,402,28,52,123,197,6,12,5,1,8,9,4,2,2,0,2,3,909,91
18,4,2,468,141,45,0,1,321,11,1,4,0,0,16,1,2,0,0,1,0,661,339
19,1,2,219,245,171,0,35,319,6,2,3,0,1,10,4,7,4,0,0,0,571,429
20,2,1,86,157,101,11,140,480,3,10,2,1,5,11,1,2,0,1,3,2,526,474
21,0,0,83,312,56,0,76,407,11,3,6,0,1,6,5,1,2,0,3,2,436,564
22,0,0,238,142,27,19,30,438,15,9,1,1,0,14,2,3,2,0,0,0,516,484
23,0,1,155,113,131,26,0,494,7,6,7,2,0,21,2,2,0,1,0,0,425,575
24,0,0,67,247,147,51,0,397,8,17,13,2,0,20,2,12,10,1,0,0,465,535
25,3,2,197,64,24,58,2,616,13,6,2,1,1,13,2,1,1,3,0,5,561,439
26,1,2,299,99,18,10,0,507,17,4,1,1,0,16,3,1,3,0,0,1,393,607
27,2,0,290,194,4,0,0,466,9,5,2,0,0,19,4,4,1,0,0,0,636,364
28,1,1,216,189,194,197,0,102,15,13,12,24,0,9,2,2,4,0,0,1,621,379
29,2,2,115,163,97,8,0,574,9,7,1,0,0,20,3,3,1,1,0,1,253,747
30,1,0,164,246,42,47,90,325,12,19,2,3,5,18,0,3,2,1,0,0,652,348
31,2,2,386,79,255,4,0,199,21,5,8,1,0,15,15,1,13,0,0,0,540,460
32,1,1,297,93,100,19,0,479,9,3,5,0,0,18,1,2,1,1,0,1,360,640
33,2,1,175,252,2,23,82,437,8,6,1,2,4,9,1,1,1,1,0,2,536,464
34,0,2,160,190,20,232,0,351,8,7,7,4,0,11,4,6,0,4,0,3,436,564
35,1,0,110,300,140,29,0,260,2,28,1,10,0,14,3,3,4,1,0,0,634,366
36,1,2,57,251,84,23,37,493,1,10,4,1,1,12,5,0,6,0,0,1,198,802
37,2,1,165,227,0,27,0,490,2,8,0,2,0,7,4,2,0,1,0,2,635,365
38,1,0,287,236,31,114,0,253,31,6,2,22,0,10,3,0,3,1,0,0,581,419
39,0,2,106,299,62,127,36,289,13,9,4,5,6,15,1,0,2,3,2,3,648,352
40,3,3,163,107,172,88,0,424,6,4,0,1,0,12,2,2,5,2,0,1,572,428
41,3,0,288,278,118,18,0,216,9,5,0,0,0,11,8,10,7,0,0,0,880,120
42,1,0,325,108,124,113,16,257,22,5,9,13,1,16,2,0,0,0,0,1,802,198
43,3,0,331,122,130,3,0,400,11,2,2,1,0,12,4,2,1,0,0,0,671,329
44,0,1,195,82,19,144,0,493,6,4,0,1,0,9,2,1,1,2,0,2,205,795
45,1,0,40,156,17,111,140,525,3,8,1,2,1,12,0,0,1,3,1,3,546,454
46,2,1,203,346,57,9,0,350,4,12,6,2,0,18,5,3,0,0,0,0,668,332
47,1,3,223,144,226,0,0,250,9,9,6,0,0,23,5,7,4,0,0,0,634,366
48,1,0,187,186,81,145,0,308,15,9,4,11,0,21,1,1,1,1,0,0,804,196
49,1,2,310,73,0,14,14,564,11,5,0,3,1,11,2,1,0,1,0,3,658,342
50,1,2,147,147,76,3,0,605,6,4,2,1,0,15,2,1,1,1,0,1,778,222
51,0,0,238,148,106,176,0,278,7,5,5,3,0,11,4,1,0,2,0,1,559,441
52,0,1,344,118,12,19,51,424,6,7,1,1,4,8,1,1,2,0,0,0,592,408
53,2,2,215,109,33,31,6,556,9,10,4,1,3,22,4,4,0,0,0,1,628,372
54,1,1,110,302,41,26,0,373,6,12,6,1,0,14,1,0,1,0,0,0,555,445
55,0,1,350,217,5,7,0,397,5,9,1,1,0,8,2,3,0,0,0,0,504,496
56,2,0,335,279,0,10,70,281,3,11,0,0,0,14,1,4,0,1,1,1,622,378
57,2,0,254,264,78,0,0,399,5,8,0,0,0,9,7,1,5,0,0,0,590,410
58,0,1,310,202,37,26,10,378,7,2,4,0,1,12,1,5,0,2,0,2,552,448
59,1,0,425,220,66,0,10,239,6,3,1,0,0,9,8,3,5,0,3,2,688,312
60,2,1,136,216,196,51,52,313,11,6,2,3,5,10,2,5,3,0,0,0,785,215
61,1,1,42,68,158,58,27,533,3,10,7,2,0,15,2,0,0,3,1,1,821,179
62,1,2,87,182,63,3,44,593,1,10,4,0,1,13,4,3,1,2,1,3,462,538
63,1,2,65,355,48,2,2,452,3,13,3,0,0,20,3,4,1,1,1,1,323,677
