match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,2,204,123,87,55,0,441,6,5,6,1,0,13,298,702
1,1,1,158,326,185,2,0,293,3,8,6,1,0,14,863,137
2,1,2,214,121,101,0,34,510,7,1,3,0,1,15,281,719
3,1,1,242,66,323,0,0,345,10,2,6,0,0,14,621,379
4,2,2,29,150,152,0,47,544,1,5,11,0,1,10,451,549
5,1,0,102,54,193,30,0,549,2,4,9,1,0,13,412,588
6,0,1,8,340,173,0,0,407,2,5,2,0,0,12,319,681
7,2,0,520,92,105,0,0,269,11,2,4,0,0,15,1000,0
8,0,2,44,164,319,125,0,336,1,2,9,5,0,9,681,319
9,0,1,437,154,183,14,0,192,7,2,5,0,0,10,931,69
10,0,2,12,196,239,0,0,490,0,5,4,0,0,10,293,707
11,1,2,36,182,34,15,0,701,4,9,1,0,0,14,549,451
12,1,2,118,150,87,52,0,541,6,2,4,1,0,8,496,504
13,0,0,151,161,52,0,0,580,6,5,3,0,0,13,270,730
14,2,1,107,158,204,0,56,447,2,3,4,0,1,6,397,603
15,0,1,61,194,262,103,36,342,2,2,1,0,0,6,729,271
16,0,1,232,267,27,0,0,448,6,11,6,0,0,15,603,397
17,0,1,185,126,349,0,0,329,3,4,8,0,0,14,472,528
18,1,1,200,202,140,112,38,272,6,3,4,1,0,13,428,572
19,1,1,42,105,369,155,53,158,2,7,39,36,1,4,687,313
20,0,1,69,21,155,28,0,699,7,2,3,0,0,13,411,589
21,1,3,111,200,104,0,0,578,4,5,2,0,0,12,281,719
22,0,1,161,79,240,107,0,382,5,4,4,1,0,11,494,506
23,1,1,164,83,174,13,44,489,1,13,8,2,1,14,755,245
24,0,0,272,129,94,134,54,170,2,3,1,4,1,5,323,677
25,2,3,210,146,94,19,149,365,3,7,3,1,2,11,560,440
26,1,0,368,88,91,137,0,256,8,2,1,0,0,8,642,358
27,0,1,85,512,112,63,0,215,3,5,3,3,0,8,221,779
28,1,0,25,238,86,111,0,530,3,12,0,2,0,12,410,590
29,1,3,5,38,244,40,166,447,0,2,10,0,4,9,684,316
30,2,2,496,85,45,94,0,252,8,3,0,1,0,8,633,367
31,1,3,148,266,118,116,0,317,2,5,6,1,0,12,540,460
32,0,1,146,328,78,57,0,348,0,12,2,0,0,17,304,696
33,0,0,208,103,124,20,0,370,7,10,4,0,0,16,455,545
34,0,0,192,87,185,4,18,402,3,0,2,0,1,11,549,451
35,6,2,108,219,223,0,0,416,3,3,10,0,0,17,792,208
36,1,1,182,168,333,0,0,268,3,6,5,0,0,10,524,476
37,0,0,130,109,175,17,51,504,1,6,7,1,2,11,491,509
38,0,1,31,211,321,0,0,411,2,5,5,0,0,15,472,528
39,0,1,272,330,74,0,0,306,0,9,6,0,0,8,802,198
40,1,1,168,136,51,0,0,509,10,2,3,0,0,16,240,760
41,0,0,109,71,45,0,0,748,1,5,2,0,0,8,930,70
42,1,1,110,355,214,0,36,270,3,2,3,0,1,8,745,255
43,1,4,43,243,162,43,0,441,5,2,3,1,0,14,119,881
44,1,2,51,132,127,0,0,605,2,7,6,0,0,20,367,633
45,0,0,49,158,257,111,0,407,4,10,7,3,0,10,67,933
46,1,2,304,99,204,0,0,384,1,4,4,0,0,9,381,619
47,0,1,6,379,245,28,0,337,3,5,2,1,0,9,585,415
48,2,3,35,265,158,31,34,469,0,7,8,0,0,13,372,628
49,1,2,69,306,197,9,33,366,4,7,4,1,0,7,213,787
