match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,3,92,180,104,0,47,540,3,12,4,0,2,15,2,2,3,0,0,1,412,588
1,1,1,165,188,268,0,96,239,5,8,4,0,2,8,3,7,5,0,1,1,381,619
2,1,1,188,201,91,0,4,483,2,5,2,0,0,9,2,1,3,0,1,1,189,811
3,1,2,147,78,272,0,3,363,5,5,15,0,1,19,1,7,4,0,0,0,637,363
4,0,0,201,196,260,0,0,296,11,2,2,0,0,20,3,5,5,0,0,0,207,793
5,0,0,63,2,72,100,4,718,1,2,6,0,0,12,0,0,0,3,1,4,236,764
6,0,2,97,178,108,117,0,389,10,13,9,3,0,30,3,2,2,1,0,1,191,809
7,0,1,98,63,210,8,0,577,4,3,6,0,0,17,1,0,3,1,0,1,358,642
8,1,1,159,118,273,74,9,347,4,2,3,1,2,10,1,1,3,1,0,2,401,599
9,0,2,165,98,150,47,0,482,3,4,4,1,0,8,3,1,5,1,0,1,285,715
10,1,2,49,216,151,128,22,415,4,2,6,1,1,8,0,4,2,2,1,1,376,624
11,0,2,20,132,578,0,0,260,2,3,4,0,0,7,1,1,1,0,0,0,79,921
12,2,0,334,156,108,53,19,289,4,2,8,4,1,5,4,2,0,1,0,1,466,534
13,0,0,82,0,440,0,0,371,2,0,7,0,0,21,1,0,1,0,0,0,871,129
14,0,0,219,164,225,3,0,348,15,3,2,1,0,25,0,1,1,0,0,0,445,555
15,0,2,122,59,241,3,0,498,8,7,13,1,0,19,0,4,2,0,0,0,151,849
16,0,0,149,217,282,0,0,301,6,3,10,0,0,10,4,6,9,0,0,0,0,1000
17,0,1,337,25,245,7,47,268,9,0,10,0,0,13,4,1,2,1,1,0,974,26
18,0,3,99,262,121,26,202,265,4,7,1,1,2,11,1,3,3,0,1,2,246,754
19,0,2,135,20,259,0,0,546,4,2,7,0,0,9,1,2,2,0,0,0,400,600
20,2,2,203,84,123,67,0,349,6,10,3,1,0,18,2,1,3,1,0,1,328,672
21,0,2,248,155,128,59,0,391,6,4,3,1,0,11,2,0,3,0,0,1,414,586
22,0,0,97,146,243,0,0,438,2,10,7,0,0,17,3,3,2,0,0,0,336,664
23,1,3,19,347,70,176,0,369,1,6,2,2,0,8,0,1,0,1,0,2,686,314
24,0,3,35,200,144,54,0,529,1,7,4,1,0,9,2,3,0,0,0,0,225,775
25,0,1,93,223,198,0,10,462,2,4,3,0,0,15,0,1,2,0,1,1,617,383
26,1,0,132,84,390,0,0,362,2,3,9,0,0,11,1,0,2,0,0,0,863,137
27,1,0,186,176,191,0,0,444,1,2,2,0,0,6,3,0,1,0,0,0,473,527
28,0,0,161,218,147,81,20,249,9,4,7,0,2,11,6,6,3,1,0,2,392,608
29,1,0,80,175,436,0,0,283,3,7,4,0,0,5,4,4,7,0,0,0,847,153
30,2,1,153,355,139,0,0,324,0,17,1,0,0,17,4,5,3,0,0,0,116,884
31,0,0,85,184,124,21,0,518,4,5,6,2,0,15,0,0,0,0,0,0,510,490
32,0,2,164,173,150,1,0,478,8,7,2,0,0,11,3,2,3,1,0,0,584,416
33,1,1,100,153,169,150,0,406,3,9,5,6,0,10,1,1,1,1,0,3,574,426
34,0,0,91,277,195,22,0,270,2,8,11,2,0,23,3,2,0,0,0,0,591,409
35,0,2,199,261,214,0,10,287,4,6,5,0,1,12,5,3,3,0,1,2,425,575
36,0,1,156,202,46,21,12,487,7,5,7,3,1,23,2,1,1,1,0,1,611,389
37,0,2,153,401,108,1,0,327,1,7,2,1,0,5,5,7,5,0,0,0,163,837
38,2,1,145,283,99,100,42,296,5,6,8,2,1,17,0,2,2,1,0,0,252,748
39,1,2,93,139,262,35,0,471,2,4,4,1,0,10,0,2,0,1,0,2,214,786
40,2,1,26,269,207,3,36,440,1,11,7,1,2,12,1,5,6,0,2,1,440,560
41,0,2,140,155,212,0,0,489,2,2,2,0,0,10,3,1,0,0,0,0,170,830
42,0,3,122,105,17,0,26,607,6,6,2,0,0,12,0,1,2,0,1,0,671,329
43,0,0,109,202,579,0,0,97,0,1,3,0,0,4,6,8,7,0,0,0,140,860
44,0,1,160,9,301,0,0,422,2,0,11,0,0,8,3,2,1,0,0,0,506,494
45,0,2,149,106,57,5,18,645,4,4,2,0,1,12,3,1,1,1,0,2,452,548
46,1,0,45,126,204,0,2,452,5,5,25,0,0,36,1,3,0,0,1,0,471,529
47,0,0,335,107,75,29,45,370,6,4,4,1,1,4,5,4,2,0,0,0,388,612
48,1,1,121,129,195,0,0,417,2,11,9,0,0,30,1,1,4,0,0,0,588,412
49,0,2,234,1,379,0,0,385,2,1,4,0,0,7,0,0,1,0,0,0,340,660
50,0,1,177,141,301,0,6,353,4,7,2,0,2,7,0,3,2,0,0,0,41,959
51,0,0,30,146,361,0,0,329,2,3,11,0,0,22,0,1,2,0,0,0,606,394
52,0,0,10,70,332,3,52,487,4,5,3,0,2,10,0,3,4,2,0,2,271,729
53,0,0,224,298,233,2,0,158,7,5,4,0,0,16,3,4,3,1,0,0,327,673
54,2,1,239,122,272,21,27,295,4,3,10,2,0,11,2,2,2,0,1,1,457,543
55,0,0,95,106,582,5,30,181,2,1,5,1,0,6,1,2,4,0,1,1,174,826
56,0,4,104,173,78,0,0,641,3,6,2,0,0,14,0,0,1,0,0,0,192,808
57,1,1,162,165,118,8,65,475,5,5,3,1,0,10,1,1,0,0,2,2,326,674
58,0,0,129,17,193,59,49,533,2,4,4,0,2,5,2,1,1,1,0,1,254,746
59,0,0,0,0,403,0,0,568,0,0,9,0,0,9,0,0,0,0,0,0,0,1000
60,0,3,143,205,350,0,0,292,2,4,4,0,0,5,5,5,2,0,0,0,506,494
61,0,3,82,93,190,59,20,536,1,2,6,1,1,11,0,0,0,1,0,2,150,850
62,1,2,178,236,36,13,0,473,5,6,0,0,0,9,2,4,1,1,0,1,367,633
63,2,0,209,130,222,50,0,360,5,2,5,3,0,7,0,3,2,1,0,2,445,555
64,0,2,161,202,151,80,0,371,2,5,7,0,0,12,1,2,0,1,0,0,513,487
65,0,1,32,80,606,66,4,195,1,5,11,3,1,4,1,2,4,0,0,0,225,775
66,0,2,123,272,112,197,0,247,3,9,5,3,0,7,4,6,1,2,0,3,326,674
67,0,0,150,93,92,4,52,564,7,6,4,1,1,18,1,1,3,0,0,0,373,627
68,0,3,68,130,189,202,0,402,2,7,2,4,0,6,0,2,3,3,0,3,308,692
69,1,0,58,390,231,51,74,81,2,8,4,1,2,3,1,7,7,0,2,1,677,323
70,2,2,92,293,198,18,27,364,3,3,7,2,1,6,5,5,4,0,0,1,486,514
71,1,1,225,239,220,201,0,95,7,5,4,2,0,7,2,5,6,0,0,1,525,475
72,0,1,68,209,237,0,0,453,3,4,2,0,0,12,1,5,3,0,0,0,210,790
73,0,0,173,268,24,35,39,429,2,5,2,1,0,10,4,3,1,2,1,1,275,725
74,0,1,11,253,265,5,0,441,2,2,9,1,0,9,0,3,2,0,0,1,288,712
75,0,2,243,101,282,37,37,286,5,3,6,1,3,9,5,3,4,0,0,0,516,484
76,1,5,105,42,7,68,0,775,6,1,1,1,0,9,1,0,0,3,0,2,428,572
77,0,3,165,133,74,6,0,603,3,5,3,0,0,11,3,1,0,1,0,1,203,797
78,0,1,61,90,514,59,0,272,2,0,6,1,0,7,1,2,0,0,0,0,0,1000
79,2,3,78,200,220,37,0,394,5,5,10,0,0,22,3,2,3,1,0,1,502,498
80,1,0,101,246,251,0,9,361,8,7,4,0,1,14,1,6,5,0,1,0,401,599
81,0,0,107,243,228,0,0,401,5,5,4,0,0,15,0,5,4,0,0,0,91,909
82,1,0,116,48,377,0,0,361,7,2,13,0,0,17,5,3,8,0,0,0,425,575
83,0,4,172,121,4,78,0,619,4,3,0,3,0,6,0,1,1,2,0,3,438,562
84,1,1,215,225,249,59,0,183,8,3,8,1,0,13,5,6,7,0,0,0,287,713
85,0,1,45,173,240,47,10,471,1,3,11,0,2,10,1,0,1,1,0,0,659,341
86,0,0,166,113,466,39,0,88,1,3,11,3,0,6,3,5,5,0,0,0,752,248
87,1,2,218,101,239,8,4,423,1,3,2,0,1,5,1,1,4,1,0,2,519,481
88,1,2,122,191,86,0,12,574,5,4,2,0,1,13,1,2,1,0,0,1,260,740
89,0,1,125,206,88,0,12,481,12,1,3,0,1,21,2,4,1,0,0,0,172,828
90,1,2,53,292,84,25,0,480,4,12,2,3,0,13,5,5,2,0,0,0,263,737
91,3,3,97,188,42,6,1,607,5,3,3,1,1,15,2,1,0,2,0,2,483,517
92,0,0,87,446,75,24,0,351,0,14,3,2,0,15,1,3,2,3,0,2,681,319
93,1,3,138,208,115,12,3,507,4,6,8,2,0,12,1,2,3,1,1,1,777,223
94,0,0,32,340,412,0,0,194,0,1,12,0,0,9,1,2,2,0,0,0,294,706
95,0,2,517,26,150,34,9,250,9,2,1,1,2,7,1,1,1,2,2,1,582,418
96,0,0,150,233,22,39,0,550,3,4,2,1,0,7,4,3,1,1,0,1,425,575
97,1,0,29,115,300,162,55,293,6,8,3,2,2,10,3,5,4,0,1,0,332,668
98,0,0,17,267,128,71,0,512,1,2,4,1,0,9,1,3,0,1,0,0,0,1000
99,0,2,156,66,231,0,0,456,3,5,3,0,0,10,1,0,0,0,0,0,513,487
100,0,4,249,209,5,4,0,476,6,14,1,2,0,14,5,1,1,0,0,1,220,780
101,0,0,77,210,386,0,0,310,3,2,10,0,0,12,2,5,6,0,0,0,280,720
102,0,0,152,176,152,106,0,354,2,15,2,1,0,16,1,0,2,3,0,2,697,303
103,0,1,368,98,108,122,43,214,12,1,3,2,0,17,1,0,0,1,2,1,435,565
104,1,1,61,154,83,24,0,537,1,4,1,2,0,8,2,0,2,0,0,1,185,815
105,2,2,63,138,87,45,54,590,2,4,4,0,0,10,1,0,2,1,2,2,444,556
106,1,0,142,107,214,6,54,450,9,4,2,2,0,16,2,2,1,0,1,1,472,528
107,0,2,31,343,143,0,0,465,2,5,7,0,0,10,1,3,1,0,0,0,125,875
108,0,1,31,133,401,0,0,398,1,3,5,0,0,9,0,4,2,0,0,0,255,745
109,0,0,108,217,384,0,0,249,5,7,11,0,0,13,2,2,6,0,0,0,117,883
110,0,3,29,17,386,12,79,457,1,0,7,0,1,8,0,3,0,1,1,3,248,752
