match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,3,2,191,212,67,31,0,416,6,7,3,1,0,13,4,2,1,1,0,0,514,486
1,1,1,164,158,0,52,3,486,18,11,0,2,2,24,3,2,0,4,0,3,193,807
2,2,0,88,314,46,0,5,468,5,15,1,0,0,14,2,2,2,0,1,1,266,734
3,1,1,274,182,206,177,18,132,8,2,2,1,5,7,3,3,3,2,0,1,661,339
4,0,0,155,56,270,120,23,356,10,2,10,7,3,9,2,0,4,2,0,3,774,226
5,1,0,322,206,92,119,0,228,9,6,1,2,0,12,1,3,1,1,0,0,192,808
6,1,0,171,141,261,113,0,283,5,6,15,2,0,11,2,7,7,0,0,0,684,316
7,0,2,230,80,210,196,0,238,11,2,3,9,0,9,2,1,3,1,0,1,840,160
8,1,0,108,216,16,53,17,530,6,7,1,2,0,19,1,1,1,0,1,0,281,719
9,1,2,191,207,53,13,2,494,10,12,3,0,0,17,3,4,1,1,1,1,624,376
10,1,1,204,26,108,58,0,499,8,0,9,3,0,16,2,1,0,1,0,0,391,609
11,3,0,277,214,63,86,13,282,25,9,3,12,0,15,2,2,2,0,1,0,843,157
12,2,2,72,211,56,9,63,564,4,2,2,1,1,11,1,1,4,1,1,2,539,461
13,2,3,223,331,0,6,41,359,2,8,0,2,3,18,2,3,0,1,1,1,269,731
14,1,1,98,254,12,41,47,531,2,11,1,1,2,15,3,2,0,0,4,4,569,431
15,0,3,153,271,192,0,0,354,5,10,7,0,0,21,0,3,1,0,0,0,591,409
16,0,1,345,94,83,30,39,387,13,6,2,1,2,14,2,4,4,0,1,2,540,460
17,1,0,102,195,0,5,0,656,2,16,0,0,0,14,1,1,0,1,0,0,287,713
18,0,2,33,47,0,3,0,846,12,5,0,0,0,31,0,0,0,1,0,1,330,670
19,1,1,246,150,0,8,15,544,11,5,0,1,1,16,1,1,0,1,0,1,297,703
20,0,0,163,134,14,0,10,666,8,7,1,0,0,12,0,2,1,0,0,1,248,752
21,2,1,246,73,28,0,0,624,10,9,0,0,0,20,1,2,0,0,0,0,689,311
22,1,3,143,183,29,0,0,556,15,7,1,0,0,29,2,0,0,0,0,0,209,791
23,0,2,234,112,17,76,43,500,9,4,3,4,0,12,4,2,0,3,2,6,439,561
24,1,1,231,255,0,0,0,449,7,10,0,0,0,23,2,3,0,0,0,0,112,888
25,0,1,309,274,78,0,2,327,4,8,3,0,1,11,4,4,2,0,0,0,519,481
26,1,0,197,336,2,34,0,369,5,12,0,3,0,10,4,6,1,0,0,0,278,722
27,2,1,114,238,13,0,20,601,3,12,0,0,2,13,1,1,1,0,0,0,518,482
28,1,3,219,92,19,63,0,525,8,3,0,1,0,11,2,0,3,2,0,1,501,499
29,0,1,240,228,21,144,31,262,20,10,1,7,2,13,1,5,1,1,2,3,523,477
30,1,0,428,156,38,59,0,257,14,3,2,2,0,17,5,2,1,2,0,1,636,364
31,3,1,293,240,117,0,0,234,12,7,9,0,0,23,4,5,3,0,0,0,455,545
32,3,0,242,213,119,1,0,349,8,11,4,1,0,17,8,3,4,0,0,0,719,281
33,1,1,123,336,11,42,80,398,4,4,0,0,2,7,1,0,1,4,0,3,477,523
34,3,1,276,191,54,28,4,395,10,13,1,1,0,18,5,1,0,1,1,1,365,635
35,0,1,170,216,134,37,30,396,7,4,8,0,2,17,1,1,0,2,0,2,202,798
36,1,0,251,254,46,5,65,313,16,4,4,0,7,15,1,2,1,1,0,0,766,234
37,1,3,355,113,38,28,23,422,7,8,2,6,2,10,2,1,1,0,0,1,513,487
38,1,0,170,255,43,0,0,514,5,9,0,0,0,12,3,2,1,0,0,0,230,770
39,0,0,267,214,126,44,0,326,6,3,6,1,0,9,3,6,3,0,0,0,709,291
40,2,3,162,255,0,0,9,508,4,9,0,0,0,11,7,7,0,0,1,0,262,738
41,1,1,163,146,19,4,20,488,10,6,0,1,1,21,0,1,1,0,0,1,154,846
42,5,0,195,223,25,156,0,226,4,12,0,5,0,9,2,1,0,1,0,3,606,394
43,1,2,93,40,239,98,0,493,4,2,7,0,0,11,3,1,3,1,0,0,230,770
44,0,1,149,102,204,2,4,478,7,2,8,1,2,8,4,4,2,0,0,0,807,193
45,1,1,191,141,39,61,29,471,9,15,1,5,1,23,0,0,0,1,0,2,386,614
46,0,2,211,295,92,0,8,300,3,5,3,0,0,10,6,7,0,0,1,1,335,665
47,3,2,275,212,42,22,15,314,4,5,0,0,0,6,2,1,1,1,1,0,630,370
48,1,1,142,283,37,22,17,419,11,11,2,0,1,18,3,1,5,1,0,0,509,491
49,1,1,275,193,19,0,0,437,7,5,0,0,0,13,4,2,1,0,0,0,300,700
50,0,2,177,110,158,0,28,341,16,10,9,0,1,26,1,1,3,0,0,1,538,462
51,2,2,319,152,49,24,2,375,12,8,3,1,2,14,2,5,5,1,0,2,700,300
52,5,1,220,207,14,7,49,461,3,10,2,2,2,16,3,3,1,0,0,1,329,671
53,1,0,269,207,0,12,109,328,17,8,0,0,1,19,3,2,0,0,0,2,555,445
54,0,0,240,222,50,0,0,438,21,3,3,0,0,19,3,4,1,0,0,0,528,472
55,0,0,724,0,0,65,0,200,12,0,0,0,0,13,0,0,0,1,0,0,152,848
56,0,0,223,184,19,0,0,543,10,11,2,0,0,16,0,1,3,0,0,0,210,790
57,1,1,256,182,0,107,35,304,31,7,0,7,12,18,3,2,0,3,1,2,719,281
58,1,1,95,195,48,47,0,556,4,12,1,4,0,15,2,0,0,0,0,0,350,650
59,1,2,275,308,62,38,0,280,5,9,4,3,0,8,5,5,3,0,0,0,701,299
60,1,0,146,70,0,4,41,714,5,3,0,1,2,8,0,2,0,2,0,4,315,685
61,5,1,208,249,33,117,86,278,11,7,1,1,2,16,0,4,0,1,1,1,551,449
62,4,0,234,323,0,0,147,258,9,11,0,0,3,12,5,3,0,0,2,2,731,269
63,0,3,142,119,80,6,0,609,8,3,2,0,0,9,1,0,0,1,0,1,389,611
64,1,0,136,324,145,5,2,352,5,9,6,1,1,15,5,6,6,1,0,2,947,53
65,2,1,13,99,200,0,22,639,1,9,6,0,1,13,2,1,2,0,0,1,534,466
66,1,1,214,202,131,59,57,301,12,7,3,5,0,10,1,5,6,0,1,1,600,400
67,1,1,79,97,0,33,0,748,6,3,0,0,0,8,1,0,0,3,0,2,414,586
68,1,0,294,125,0,28,0,439,24,7,0,0,0,44,0,0,0,1,0,1,108,892
69,1,1,305,129,39,36,24,345,16,5,7,0,1,16,5,7,0,2,0,2,394,606
70,1,0,125,128,36,48,32,604,8,5,0,2,1,16,0,0,1,1,1,1,362,638
71,2,1,110,198,53,166,75,307,7,12,5,6,5,14,2,0,0,6,4,1,693,307
72,3,0,244,279,119,208,0,118,8,12,3,9,0,8,10,7,6,7,0,5,581,419
73,1,3,256,156,28,15,0,517,6,4,2,0,0,9,3,2,0,1,0,0,546,454
74,0,0,259,183,114,0,88,328,3,5,7,0,10,4,7,1,3,0,0,0,804,196
75,1,0,161,303,0,12,71,286,8,13,0,1,1,22,2,3,0,2,0,1,290,710
76,0,2,120,162,1,139,2,551,4,9,1,5,1,8,1,0,0,1,0,2,618,382
77,1,1,161,335,94,43,0,344,3,8,2,1,0,3,12,9,3,0,0,1,559,441
78,1,0,326,94,38,0,23,510,8,7,0,0,0,12,0,2,2,0,1,1,432,568
79,0,0,284,91,92,17,11,378,35,5,4,0,1,56,3,3,0,1,1,1,175,825
80,1,0,385,40,296,33,15,189,12,1,4,2,0,15,2,3,4,3,1,3,585,415
81,1,0,148,198,0,111,0,530,2,7,0,4,0,6,3,2,0,1,0,2,232,768
82,2,0,297,101,5,140,0,410,15,1,2,6,0,15,1,3,1,2,0,1,520,480
83,0,0,133,60,32,77,58,579,17,3,1,0,3,24,0,0,0,1,2,4,554,446
84,0,1,216,136,10,0,52,496,1,8,2,0,2,25,2,0,0,0,1,3,492,508
85,1,1,207,190,33,0,0,511,4,9,1,0,0,10,2,2,2,0,0,0,449,551
86,1,0,515,148,0,0,0,253,4,4,0,0,0,8,2,2,0,0,0,0,233,767
87,1,1,169,187,33,49,82,449,5,8,1,0,3,15,1,2,1,3,1,1,746,254
88,1,1,379,95,138,62,0,306,7,5,6,0,0,9,5,3,2,1,0,0,726,274
89,0,0,237,63,252,18,0,414,1,4,9,1,0,16,6,1,3,0,0,1,847,153
90,4,1,274,219,44,0,33,405,13,8,1,0,1,25,2,3,1,0,0,0,673,327
91,0,0,193,457,0,54,0,208,1,5,0,0,0,7,1,2,0,2,0,1,254,746
92,2,0,180,147,193,0,18,437,6,5,2,0,0,12,1,3,0,0,3,1,808,192
93,5,2,230,231,136,13,37,334,4,3,0,0,2,8,0,2,2,1,0,1,423,577
94,1,0,504,120,0,19,0,263,31,5,0,0,0,39,2,3,0,0,0,0,285,715
95,1,1,281,229,41,248,0,158,2,9,1,4,0,8,4,5,0,2,0,3,665,335
96,1,0,233,33,340,0,12,321,13,3,17,0,1,18,10,2,11,0,1,0,883,117
97,2,1,172,58,0,0,0,755,6,5,0,0,0,9,1,1,0,0,0,0,514,486
98,1,1,8,294,0,35,4,629,1,9,0,0,0,13,1,0,0,3,1,3,596,404
99,2,1,248,80,256,0,0,409,6,2,4,0,0,6,2,4,2,0,0,0,532,468
