match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,0.0,0.0,240.0,445.0,0.0,132.0,77.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,487.0,513.0,0.6176470588235294,0.7647058823529411,685.0,209.0,9.0,4.0,8.0,1.0
1.0,0.0,1.0,96.0,397.0,274.0,143.0,0.0,55.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,461.0,539.0,0.7058823529411765,0.8823529411764706,767.0,198.0,9.0,2.0,6.0,0.0
2.0,0.0,1.0,422.0,63.0,206.0,142.0,52.0,87.0,5.0,2.0,0.0,1.0,1.0,2.0,6.0,1.0,7.0,0.0,0.0,0.0,227.0,773.0,0.7352941176470589,0.8235294117647058,691.0,281.0,7.0,4.0,14.0,0.0
3.0,1.0,1.0,432.0,126.0,72.0,236.0,68.0,62.0,7.0,1.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,77.0,923.0,0.7428571428571429,0.8285714285714286,630.0,366.0,8.0,7.0,4.0,1.0
4.0,1.0,0.0,200.0,249.0,187.0,17.0,51.0,279.0,5.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,4.0,0.0,0.0,1.0,631.0,369.0,0.7352941176470589,0.8823529411764706,636.0,347.0,9.0,10.0,11.0,1.0
5.0,0.0,0.0,306.0,444.0,56.0,92.0,1.0,49.0,8.0,4.0,1.0,6.0,1.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,309.0,691.0,0.7647058823529411,0.8823529411764706,806.0,142.0,13.0,9.0,11.0,0.0
6.0,0.0,0.0,222.0,634.0,49.0,0.0,5.0,58.0,1.0,4.0,1.0,0.0,1.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,806.0,194.0,0.7647058823529411,0.8235294117647058,905.0,63.0,6.0,5.0,11.0,0.0
7.0,1.0,2.0,97.0,100.0,211.0,151.0,218.0,34.0,3.0,7.0,3.0,2.0,10.0,0.0,6.0,3.0,2.0,2.0,0.0,0.0,288.0,712.0,0.6,0.7428571428571429,408.0,403.0,13.0,12.0,11.0,2.0
8.0,1.0,0.0,182.0,450.0,84.0,97.0,126.0,0.0,8.0,2.0,0.0,12.0,13.0,0.0,3.0,5.0,1.0,2.0,1.0,0.0,249.0,751.0,0.6764705882352942,0.8235294117647058,716.0,223.0,10.0,25.0,9.0,3.0
9.0,0.0,0.0,224.0,466.0,32.0,79.0,53.0,122.0,5.0,10.0,1.0,7.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1000.0,0.0,0.6470588235294118,0.8235294117647058,722.0,254.0,16.0,12.0,8.0,5.0
