match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,0.0,0.0,500.0,315.0,3.0,0.0,61.0,75.0,2.0,4.0,0.0,0.0,1.0,2.0,8.0,4.0,2.0,0.0,0.0,0.0,188.0,812.0,0.6764705882352942,0.8823529411764706,818.0,136.0,6.0,3.0,14.0,0.0
1.0,0.0,0.0,342.0,367.0,0.0,43.0,238.0,0.0,4.0,3.0,0.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.7941176470588235,0.9117647058823529,709.0,281.0,7.0,6.0,5.0,0.0
2.0,0.0,0.0,148.0,349.0,86.0,337.0,0.0,40.0,3.0,4.0,2.0,4.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,782.0,218.0,0.7352941176470589,0.8529411764705882,583.0,377.0,9.0,6.0,10.0,1.0
3.0,0.0,1.0,68.0,57.0,259.0,93.0,258.0,4.0,2.0,1.0,9.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,720.0,280.0,0.6029411764705882,0.6050420168067226,384.0,355.0,12.0,12.0,1.0,1.0
4.0,0.0,0.0,136.0,103.0,53.0,445.0,223.0,5.0,5.0,5.0,0.0,12.0,4.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,1000.0,0.0,0.9705882352941176,1.0,292.0,673.0,10.0,16.0,3.0,4.0
5.0,1.0,0.0,465.0,202.0,34.0,126.0,28.0,117.0,11.0,4.0,1.0,4.0,0.0,6.0,7.0,7.0,1.0,0.0,1.0,1.0,500.0,500.0,0.34375,0.43566176470588236,701.0,271.0,16.0,10.0,15.0,2.0
6.0,0.0,0.0,178.0,344.0,0.0,181.0,136.0,61.0,0.0,7.0,0.0,6.0,2.0,0.0,5.0,3.0,0.0,0.0,1.0,2.0,556.0,444.0,0.6764705882352942,0.8529411764705882,522.0,378.0,7.0,8.0,8.0,3.0
7.0,1.0,0.0,375.0,292.0,0.0,122.0,33.0,137.0,18.0,6.0,0.0,3.0,0.0,7.0,8.0,10.0,0.0,1.0,0.0,1.0,958.0,42.0,0.6428571428571429,0.7642857142857142,667.0,292.0,24.0,10.0,18.0,2.0
8.0,0.0,0.0,259.0,452.0,82.0,0.0,122.0,7.0,12.0,2.0,0.0,0.0,8.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,552.0,448.0,0.5882352941176471,0.7941176470588235,793.0,129.0,14.0,11.0,14.0,0.0
9.0,0.0,0.0,40.0,312.0,37.0,3.0,348.0,164.0,4.0,10.0,1.0,1.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,266.0,734.0,0.7352941176470589,0.8823529411764706,389.0,515.0,15.0,12.0,4.0,1.0
10.0,0.0,2.0,83.0,228.0,138.0,233.0,165.0,129.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,38.0,962.0,0.06878306878306878,0.07340067340067341,449.0,527.0,11.0,10.0,9.0,5.0
11.0,0.0,0.0,437.0,293.0,51.0,2.0,175.0,5.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,897.0,103.0,0.7941176470588235,0.8529411764705882,781.0,182.0,6.0,5.0,8.0,0.0
12.0,0.0,0.0,202.0,5.0,15.0,0.0,0.0,332.0,15.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,912.0,88.0,0.9411764705882353,0.9411764705882353,222.0,332.0,16.0,10.0,1.0,0.0
13.0,0.0,0.0,197.0,163.0,356.0,6.0,190.0,87.0,2.0,2.0,3.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,2.0,1.0,325.0,675.0,0.6764705882352942,0.8529411764705882,716.0,283.0,7.0,6.0,6.0,3.0
14.0,1.0,2.0,145.0,338.0,45.0,96.0,0.0,127.0,2.0,4.0,2.0,6.0,0.0,11.0,4.0,3.0,1.0,4.0,0.0,4.0,334.0,666.0,0.010380014074595354,0.18296973961998592,528.0,223.0,8.0,17.0,8.0,8.0
15.0,1.0,1.0,238.0,425.0,68.0,134.0,0.0,88.0,5.0,10.0,1.0,6.0,0.0,5.0,8.0,6.0,1.0,0.0,0.0,0.0,698.0,302.0,0.32476190476190475,0.5038095238095238,731.0,222.0,16.0,11.0,15.0,0.0
16.0,1.0,1.0,141.0,487.0,49.0,205.0,42.0,0.0,3.0,4.0,1.0,3.0,1.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,528.0,472.0,0.03110294117647059,0.03488970588235294,677.0,247.0,8.0,4.0,9.0,1.0
17.0,1.0,0.0,103.0,456.0,24.0,120.0,196.0,74.0,3.0,11.0,0.0,7.0,6.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,370.0,630.0,0.45674740484429066,0.4896193771626298,583.0,390.0,14.0,14.0,7.0,2.0
18.0,0.0,1.0,94.0,491.0,203.0,74.0,17.0,111.0,0.0,6.0,3.0,2.0,1.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,178.0,822.0,0.5529411764705883,0.6764705882352942,788.0,202.0,9.0,11.0,6.0,0.0
19.0,1.0,0.0,315.0,421.0,80.0,106.0,0.0,35.0,13.0,10.0,1.0,8.0,0.0,5.0,10.0,8.0,4.0,0.0,0.0,0.0,958.0,42.0,0.11134453781512604,0.17331932773109243,816.0,141.0,24.0,13.0,22.0,0.0
20.0,1.0,0.0,331.0,348.0,19.0,193.0,78.0,1.0,7.0,8.0,2.0,5.0,2.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,488.0,512.0,0.5294117647058824,0.8088235294117647,698.0,272.0,17.0,8.0,11.0,0.0
21.0,1.0,0.0,191.0,224.0,257.0,62.0,9.0,191.0,1.0,3.0,6.0,3.0,1.0,7.0,4.0,5.0,2.0,1.0,0.0,0.0,689.0,311.0,0.3821428571428571,0.5321428571428571,672.0,262.0,10.0,11.0,11.0,1.0
22.0,0.0,0.0,362.0,276.0,206.0,42.0,0.0,111.0,3.0,2.0,3.0,1.0,0.0,3.0,8.0,6.0,5.0,1.0,0.0,0.0,818.0,182.0,0.7647058823529411,0.8529411764705882,844.0,153.0,8.0,4.0,19.0,1.0
23.0,2.0,1.0,347.0,276.0,42.0,138.0,0.0,149.0,12.0,8.0,4.0,2.0,0.0,16.0,6.0,6.0,1.0,1.0,0.0,0.0,307.0,693.0,0.11257740275597418,0.16832919065061921,665.0,287.0,24.0,18.0,13.0,1.0
24.0,1.0,0.0,292.0,413.0,98.0,109.0,0.0,71.0,7.0,1.0,2.0,7.0,0.0,4.0,3.0,6.0,2.0,0.0,0.0,1.0,162.0,838.0,0.13529411764705881,0.14019607843137255,803.0,180.0,10.0,11.0,11.0,1.0
25.0,1.0,1.0,137.0,436.0,203.0,167.0,12.0,29.0,5.0,7.0,0.0,6.0,1.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,220.0,780.0,0.11654135338345865,0.37382091592617905,776.0,208.0,12.0,12.0,7.0,0.0
26.0,1.0,1.0,359.0,144.0,13.0,224.0,187.0,63.0,5.0,4.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,453.0,547.0,0.18476190476190477,0.18831746031746033,516.0,474.0,10.0,12.0,8.0,0.0
27.0,0.0,0.0,93.0,453.0,319.0,128.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,836.0,164.0,0.6176470588235294,0.8235294117647058,865.0,128.0,5.0,2.0,10.0,0.0
28.0,1.0,0.0,262.0,74.0,3.0,397.0,252.0,0.0,9.0,4.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,168.0,832.0,0.6470588235294118,0.7941176470588235,339.0,649.0,13.0,8.0,2.0,2.0
29.0,1.0,1.0,290.0,256.0,74.0,66.0,125.0,181.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,159.0,841.0,0.32735294117647057,0.39235294117647057,620.0,372.0,9.0,7.0,9.0,0.0
