match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,4.0,0.0,44.0,385.0,296.0,99.0,98.0,43.0,0.0,5.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,936.0,64.0,0.75,0.7777777777777778,725.0,240.0,5.0,7.0,4.0,1.0
1.0,2.0,0.0,110.0,235.0,129.0,156.0,127.0,127.0,7.0,7.0,2.0,8.0,3.0,6.0,1.0,3.0,3.0,2.0,1.0,1.0,358.0,642.0,0.4411764705882353,0.7941176470588235,474.0,410.0,16.0,17.0,7.0,4.0
2.0,1.0,0.0,306.0,274.0,72.0,64.0,119.0,149.0,5.0,2.0,2.0,1.0,6.0,2.0,4.0,5.0,2.0,1.0,0.0,0.0,391.0,609.0,0.47058823529411764,0.6764705882352942,652.0,332.0,9.0,9.0,11.0,1.0
3.0,1.0,0.0,420.0,162.0,199.0,0.0,125.0,93.0,2.0,5.0,2.0,0.0,4.0,4.0,1.0,3.0,2.0,0.0,1.0,0.0,150.0,850.0,0.5294117647058824,0.7647058823529411,781.0,218.0,9.0,8.0,6.0,1.0
4.0,0.0,2.0,153.0,173.0,36.0,0.0,139.0,448.0,1.0,4.0,3.0,0.0,6.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,146.0,854.0,0.6571428571428571,0.7714285714285715,362.0,587.0,8.0,7.0,6.0,1.0
5.0,2.0,0.0,364.0,190.0,94.0,27.0,129.0,184.0,4.0,3.0,0.0,1.0,5.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,262.0,738.0,0.42857142857142855,0.6285714285714286,648.0,340.0,7.0,10.0,7.0,4.0
6.0,0.0,1.0,23.0,213.0,337.0,223.0,155.0,7.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,113.0,887.0,0.7142857142857143,0.8285714285714286,573.0,385.0,4.0,7.0,4.0,5.0
7.0,0.0,1.0,167.0,430.0,202.0,108.0,34.0,22.0,3.0,9.0,1.0,3.0,1.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,706.0,294.0,0.5294117647058824,0.7647058823529411,799.0,164.0,13.0,7.0,11.0,0.0
8.0,0.0,0.0,114.0,543.0,79.0,0.0,198.0,52.0,1.0,7.0,0.0,0.0,5.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,158.0,842.0,0.5294117647058824,0.7352941176470589,736.0,250.0,8.0,8.0,6.0,2.0
9.0,0.0,0.0,146.0,226.0,73.0,236.0,123.0,185.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,449.0,551.0,0.6470588235294118,0.7941176470588235,445.0,544.0,10.0,8.0,8.0,4.0
