match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,1.0,0.0,96.0,296.0,307.0,122.0,0.0,13.0,0.0,4.0,5.0,1.0,0.0,2.0,3.0,6.0,5.0,1.0,0.0,0.0,312.0,688.0,0.7352941176470589,0.8823529411764706,699.0,135.0,9.0,3.0,14.0,1.0
1.0,0.0,0.0,215.0,592.0,0.0,94.0,12.0,0.0,2.0,7.0,0.0,13.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,244.0,756.0,0.8529411764705882,1.0,807.0,106.0,9.0,13.0,6.0,1.0
2.0,0.0,0.0,361.0,92.0,340.0,0.0,28.0,176.0,3.0,1.0,3.0,0.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,692.0,308.0,0.6470588235294118,0.8235294117647058,793.0,204.0,7.0,4.0,8.0,0.0
3.0,1.0,0.0,237.0,346.0,312.0,0.0,100.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,6.0,5.0,9.0,0.0,0.0,0.0,135.0,865.0,0.7352941176470589,0.9117647058823529,895.0,100.0,6.0,2.0,20.0,0.0
4.0,1.0,1.0,212.0,160.0,345.0,44.0,70.0,16.0,8.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,247.0,753.0,0.5428571428571428,0.8857142857142857,717.0,130.0,11.0,8.0,10.0,1.0
5.0,0.0,1.0,258.0,370.0,108.0,0.0,64.0,185.0,3.0,1.0,2.0,0.0,3.0,2.0,3.0,8.0,4.0,0.0,0.0,0.0,501.0,499.0,0.4411764705882353,0.7352941176470589,736.0,249.0,6.0,5.0,15.0,0.0
6.0,0.0,0.0,474.0,260.0,99.0,44.0,0.0,112.0,6.0,1.0,0.0,2.0,0.0,0.0,10.0,11.0,3.0,0.0,0.0,1.0,506.0,494.0,0.7352941176470589,0.9411764705882353,833.0,156.0,7.0,2.0,24.0,1.0
7.0,1.0,0.0,478.0,293.0,85.0,34.0,70.0,16.0,8.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,2.0,0.0,0.0,0.0,832.0,168.0,0.5882352941176471,0.8235294117647058,856.0,120.0,12.0,3.0,14.0,0.0
8.0,0.0,0.0,386.0,2.0,270.0,66.0,0.0,253.0,5.0,1.0,2.0,7.0,0.0,2.0,5.0,1.0,5.0,0.0,0.0,1.0,61.0,939.0,0.6176470588235294,0.8823529411764706,658.0,319.0,8.0,9.0,11.0,1.0
9.0,0.0,1.0,135.0,430.0,153.0,103.0,19.0,142.0,6.0,4.0,3.0,3.0,0.0,5.0,3.0,7.0,4.0,0.0,1.0,0.0,166.0,834.0,0.5294117647058824,0.8235294117647058,718.0,264.0,13.0,8.0,14.0,1.0
10.0,2.0,0.0,249.0,435.0,196.0,7.0,83.0,30.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,412.0,588.0,0.5428571428571428,0.8,880.0,120.0,5.0,6.0,9.0,0.0
11.0,2.0,1.0,403.0,165.0,84.0,0.0,126.0,139.0,6.0,8.0,0.0,0.0,4.0,8.0,2.0,2.0,4.0,0.0,0.0,1.0,707.0,293.0,0.4857142857142857,0.6857142857142857,652.0,265.0,14.0,12.0,8.0,1.0
12.0,0.0,0.0,277.0,271.0,46.0,58.0,107.0,226.0,8.0,2.0,1.0,0.0,2.0,4.0,4.0,8.0,4.0,1.0,0.0,1.0,519.0,481.0,0.5882352941176471,0.7647058823529411,594.0,391.0,11.0,6.0,16.0,2.0
13.0,0.0,1.0,164.0,324.0,80.0,171.0,89.0,165.0,1.0,3.0,3.0,5.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,474.0,526.0,0.6,0.8,568.0,425.0,7.0,6.0,7.0,2.0
14.0,2.0,0.0,327.0,460.0,137.0,1.0,1.0,53.0,3.0,3.0,0.0,1.0,1.0,2.0,5.0,5.0,1.0,0.0,0.0,0.0,359.0,641.0,0.6,0.7428571428571429,924.0,55.0,6.0,4.0,11.0,0.0
15.0,0.0,0.0,186.0,215.0,117.0,335.0,92.0,36.0,7.0,8.0,3.0,11.0,6.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,331.0,669.0,0.6470588235294118,0.7352941176470589,518.0,463.0,18.0,20.0,4.0,1.0
16.0,1.0,2.0,292.0,215.0,161.0,135.0,125.0,57.0,9.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,7.0,0.0,0.0,1.0,466.0,534.0,0.5277777777777778,0.7777777777777778,668.0,317.0,12.0,5.0,15.0,1.0
17.0,1.0,1.0,315.0,105.0,93.0,188.0,0.0,275.0,3.0,6.0,2.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,351.0,649.0,0.6285714285714286,0.8571428571428571,513.0,463.0,11.0,6.0,2.0,0.0
18.0,0.0,0.0,77.0,319.0,320.0,159.0,70.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,278.0,722.0,0.5588235294117647,0.8529411764705882,716.0,229.0,4.0,3.0,8.0,1.0
19.0,1.0,0.0,481.0,372.0,44.0,16.0,0.0,69.0,4.0,4.0,0.0,0.0,0.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,1000.0,0.0,0.7352941176470589,0.8823529411764706,897.0,85.0,8.0,2.0,14.0,0.0
