match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,1,304,137,55,105,0,351,6,4,1,2,0,6,267,733
1,1,0,91,280,57,26,0,491,6,13,1,1,0,20,102,898
2,0,2,79,113,39,52,0,695,2,4,2,0,0,8,421,579
3,0,3,122,82,80,45,0,598,5,3,2,1,0,10,451,549
4,1,2,62,380,103,0,0,429,3,5,0,0,0,5,340,660
5,2,2,89,239,30,0,84,541,2,7,3,0,1,13,264,736
6,0,0,227,221,57,0,41,397,7,15,0,0,3,23,427,573
7,0,0,35,57,0,0,0,181,6,5,0,0,0,11,0,1000
8,1,3,15,211,28,113,33,520,1,15,3,2,0,13,616,384
9,1,1,147,65,44,22,9,584,3,3,3,0,1,13,507,493
10,6,0,131,72,40,49,0,632,3,3,4,0,0,8,566,434
11,0,1,379,184,0,0,43,391,6,7,0,0,0,15,371,629
12,0,3,123,282,77,113,0,405,1,2,0,1,0,2,176,824
13,0,1,299,112,5,145,18,382,7,5,2,2,0,16,588,412
14,1,0,67,155,31,31,19,687,5,6,0,0,1,10,602,398
15,3,0,202,22,98,4,18,498,7,6,6,1,2,19,364,636
16,2,1,0,501,22,40,17,377,0,5,5,1,0,9,720,280
17,0,1,207,149,51,137,0,402,6,8,0,4,0,13,553,447
18,1,1,278,21,69,0,18,597,8,3,3,0,1,14,629,371
19,3,2,40,85,357,22,8,481,3,3,9,0,0,16,743,257
20,0,0,133,251,45,60,0,443,5,10,1,5,0,12,566,434
21,1,3,186,182,42,0,11,400,8,8,3,0,3,13,327,673
22,1,1,67,252,82,135,0,396,4,8,3,3,0,10,794,206
23,0,1,211,301,31,77,0,344,9,13,0,5,0,17,338,662
24,1,3,141,15,57,96,43,641,6,2,2,2,0,8,654,346
25,1,1,65,144,153,0,37,595,2,6,5,0,0,15,294,706
26,0,1,129,18,365,13,0,464,3,2,4,1,0,11,322,678
27,1,3,146,169,125,0,0,530,6,5,2,0,0,11,459,541
28,1,4,97,176,18,212,1,462,4,5,1,4,1,14,390,610
29,1,0,148,226,0,57,20,283,1,32,0,1,1,15,296,704
30,1,1,197,99,127,35,0,486,2,2,2,2,0,6,410,590
31,2,1,101,127,178,0,0,497,1,4,1,0,0,13,609,391
32,2,2,407,14,20,0,0,559,3,2,0,0,0,5,322,678
33,0,1,158,225,0,2,0,216,3,19,0,1,0,8,310,690
34,0,2,165,218,48,0,1,423,9,20,1,0,0,17,185,815
35,2,0,217,67,2,0,0,616,9,2,0,0,0,13,517,483
36,2,0,169,101,0,39,3,638,6,3,0,1,2,9,636,364
37,1,2,124,276,122,0,0,447,4,16,0,0,0,21,274,726
38,1,0,220,240,102,0,0,303,3,13,3,0,0,13,634,366
39,0,1,222,46,7,281,7,300,7,3,1,10,0,8,220,780
40,0,2,142,354,0,28,0,453,5,3,0,0,0,7,223,777
41,0,1,375,34,0,34,61,441,8,5,0,0,0,6,292,708
42,0,1,0,433,18,74,4,240,0,25,1,2,1,11,234,766
43,1,3,64,182,26,112,0,571,6,7,2,4,0,17,589,411
44,1,0,167,226,183,0,0,408,2,5,0,0,0,11,730,270
45,0,1,162,310,0,87,14,400,2,5,0,5,0,8,313,687
46,1,0,118,49,421,40,0,283,12,5,6,0,0,13,841,159
47,0,2,158,163,145,26,0,500,5,6,1,0,0,10,655,345
48,0,0,108,151,52,0,0,681,3,8,4,0,0,17,436,564
49,0,0,138,175,41,5,42,559,3,9,0,2,0,10,560,440
