match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,2,195,149,219,0,0,317,5,5,9,0,0,10,1,4,4,0,0,0,271,729
1,1,3,153,58,240,0,54,479,5,4,7,0,0,12,2,1,4,0,1,1,336,664
2,2,2,125,99,312,20,0,427,4,1,7,0,0,12,1,1,1,2,0,1,470,530
3,0,1,154,142,388,0,0,297,3,3,4,0,0,4,1,4,1,0,0,0,98,902
4,1,1,64,172,265,49,0,300,3,2,13,2,0,15,1,3,3,1,0,0,563,437
5,1,0,298,49,155,12,0,482,2,1,3,2,0,5,3,1,0,2,0,0,314,686
6,1,0,219,76,269,0,1,408,4,2,2,0,0,12,4,4,4,0,1,0,295,705
7,0,4,190,33,76,109,0,542,5,2,3,1,0,6,2,2,0,2,0,2,177,823
8,0,1,24,114,320,0,53,422,0,4,11,0,0,11,3,0,1,0,1,1,557,443
9,1,1,10,71,112,10,0,698,2,1,9,1,0,7,1,2,1,2,0,2,367,633
10,0,2,94,133,98,143,0,515,3,3,3,0,0,10,1,1,0,3,0,1,79,921
11,1,2,23,152,217,23,9,534,2,7,5,0,0,15,0,2,1,2,1,3,387,613
12,3,0,59,379,257,0,0,291,1,10,2,0,0,12,0,2,3,0,0,0,293,707
13,0,0,30,128,403,41,0,396,1,3,2,1,0,4,0,4,4,0,0,0,166,834
14,0,0,69,175,89,191,0,472,1,5,2,2,0,6,1,0,1,3,0,1,177,823
15,0,2,188,37,158,53,0,524,12,4,3,2,0,15,0,0,2,2,0,0,173,827
16,0,2,65,120,58,100,43,573,9,4,3,11,1,10,0,0,1,0,1,2,433,567
17,0,1,85,124,330,23,0,351,4,6,10,0,0,25,0,2,0,1,0,0,22,978
18,0,0,99,56,398,0,0,434,2,3,5,0,0,9,2,2,2,0,0,0,312,688
19,2,2,221,236,241,44,0,214,4,2,7,2,0,9,3,4,2,2,0,0,403,597
20,1,0,10,266,317,37,0,360,1,6,3,1,0,9,0,3,3,0,0,0,222,778
21,1,1,239,61,95,66,58,401,22,1,1,1,1,23,1,1,2,0,0,0,731,269
22,1,0,274,153,64,73,139,279,5,7,1,0,3,7,7,3,1,1,1,1,455,545
23,0,0,23,244,519,0,0,155,0,2,6,0,0,7,0,4,3,0,0,0,0,1000
24,1,1,92,181,173,41,21,387,4,5,4,1,4,21,2,3,2,1,2,1,213,787
25,0,3,71,41,114,96,15,637,5,4,4,0,0,17,3,0,0,2,2,1,349,651
26,0,3,227,76,205,0,24,437,5,3,5,0,0,14,4,2,2,0,0,1,532,468
27,1,0,207,97,95,0,0,558,6,6,4,0,0,17,2,3,3,0,0,0,225,775
28,0,2,138,70,260,61,120,264,2,5,9,0,3,9,2,0,3,2,0,0,504,496
29,1,3,175,218,221,0,5,342,4,2,8,0,0,8,3,4,2,0,1,0,228,772
30,1,1,163,190,135,0,47,375,5,12,5,0,3,24,2,2,0,0,1,1,722,278
31,1,0,46,290,327,41,0,278,2,4,8,0,0,9,1,6,5,1,0,0,364,636
32,0,1,31,319,139,23,0,433,0,6,5,1,0,11,0,0,2,0,0,0,329,671
33,0,2,163,112,401,0,1,234,13,8,5,0,0,15,3,0,7,0,1,0,757,243
34,0,1,243,217,71,10,1,357,10,5,0,1,1,18,3,2,3,0,0,2,75,925
35,1,1,30,321,271,2,18,285,1,6,15,0,1,24,1,4,2,1,0,0,664,336
36,0,1,153,61,149,43,1,508,7,2,5,1,1,16,2,2,0,5,0,4,340,660
37,2,1,144,35,524,46,37,159,8,1,17,0,1,7,4,2,6,0,0,0,878,122
38,1,0,133,179,243,10,25,328,7,10,7,3,1,12,6,5,7,0,2,1,623,377
39,1,0,177,83,399,40,9,219,5,3,13,1,1,13,6,2,6,1,0,0,498,502
40,0,2,311,149,186,161,0,182,3,5,4,4,0,6,7,7,0,1,0,1,313,687
41,0,0,117,357,144,0,0,296,4,9,3,0,0,16,2,3,4,0,0,0,0,1000
42,1,1,169,232,106,1,0,441,3,4,8,1,0,14,0,1,0,0,0,0,569,431
43,0,3,25,61,296,201,0,356,4,4,6,0,0,12,0,0,1,4,0,4,171,829
44,1,0,71,107,237,41,0,476,6,7,4,2,0,16,1,7,6,0,0,0,318,682
45,1,0,6,177,467,0,0,329,2,3,8,0,0,9,1,5,5,0,0,0,96,904
46,2,2,236,216,74,64,18,360,7,7,1,2,2,10,5,3,2,2,0,1,215,785
47,0,2,262,71,113,125,15,385,14,0,6,5,2,18,2,1,2,1,0,1,175,825
48,0,0,178,8,491,0,8,293,1,2,4,0,0,10,2,0,0,0,0,0,260,740
49,0,0,102,480,266,0,0,98,1,2,1,0,0,4,0,3,4,0,0,0,0,1000
