match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,1.0,0.0,45.0,297.0,211.0,148.0,9.0,125.0,7.0,6.0,7.0,9.0,2.0,6.0,1.0,5.0,6.0,1.0,0.0,1.0,470.0,530.0,0.4235294117647059,0.6058823529411765,553.0,282.0,20.0,17.0,12.0,2.0
1.0,0.0,0.0,503.0,198.0,111.0,51.0,12.0,111.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,669.0,331.0,0.6764705882352942,0.7352941176470589,812.0,174.0,9.0,7.0,4.0,0.0
2.0,1.0,1.0,284.0,284.0,80.0,187.0,74.0,73.0,6.0,4.0,1.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,0.0,1.0,462.0,538.0,0.19509803921568625,0.4009803921568627,648.0,334.0,11.0,13.0,9.0,2.0
3.0,0.0,0.0,261.0,438.0,0.0,145.0,113.0,5.0,8.0,9.0,0.0,7.0,4.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,459.0,541.0,0.5588235294117647,0.7941176470588235,699.0,263.0,17.0,12.0,12.0,1.0
4.0,1.0,2.0,394.0,128.0,147.0,104.0,73.0,69.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,339.0,661.0,0.17635882635882635,0.23947811447811448,669.0,246.0,10.0,13.0,7.0,2.0
5.0,0.0,0.0,353.0,209.0,18.0,111.0,255.0,31.0,6.0,6.0,0.0,2.0,8.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,952.0,48.0,0.6470588235294118,0.8235294117647058,580.0,397.0,12.0,14.0,5.0,2.0
6.0,0.0,1.0,184.0,256.0,363.0,53.0,93.0,43.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,272.0,728.0,0.45833333333333337,0.5196078431372548,803.0,189.0,8.0,6.0,11.0,0.0
7.0,0.0,2.0,157.0,238.0,92.0,144.0,229.0,115.0,3.0,3.0,3.0,2.0,4.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,217.0,783.0,0.11588827838827839,0.11620879120879121,487.0,488.0,9.0,15.0,4.0,1.0
8.0,0.0,1.0,339.0,279.0,137.0,7.0,48.0,116.0,8.0,6.0,10.0,1.0,3.0,12.0,4.0,7.0,5.0,0.0,0.0,0.0,613.0,387.0,0.2887700534759358,0.3516042780748663,755.0,171.0,24.0,16.0,16.0,0.0
9.0,0.0,1.0,346.0,236.0,85.0,68.0,0.0,231.0,9.0,1.0,5.0,3.0,0.0,14.0,2.0,8.0,1.0,1.0,0.0,1.0,184.0,816.0,0.2457142857142857,0.36952380952380953,667.0,299.0,15.0,17.0,11.0,2.0
10.0,0.0,1.0,87.0,303.0,364.0,37.0,154.0,55.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,824.0,176.0,0.4331550802139037,0.5508021390374331,754.0,246.0,2.0,2.0,9.0,1.0
11.0,0.0,0.0,292.0,198.0,81.0,121.0,243.0,61.0,6.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,2.0,744.0,256.0,0.5294117647058824,0.7352941176470589,571.0,425.0,9.0,7.0,10.0,4.0
12.0,1.0,0.0,529.0,114.0,39.0,91.0,147.0,2.0,11.0,3.0,1.0,6.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,1000.0,0.0,0.13548387096774195,0.14193548387096774,682.0,240.0,15.0,12.0,9.0,6.0
13.0,0.0,1.0,214.0,249.0,272.0,202.0,0.0,50.0,1.0,3.0,4.0,4.0,0.0,6.0,4.0,7.0,5.0,2.0,0.0,2.0,723.0,277.0,0.05028462998102467,0.05502846299810247,735.0,252.0,8.0,10.0,16.0,4.0
14.0,0.0,0.0,96.0,432.0,177.0,206.0,0.0,80.0,3.0,6.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0,3.0,0.0,2.0,84.0,916.0,0.7941176470588235,0.9411764705882353,705.0,286.0,11.0,6.0,9.0,5.0
15.0,1.0,1.0,199.0,466.0,79.0,29.0,70.0,109.0,4.0,9.0,0.0,1.0,5.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,801.0,199.0,0.23731323192892717,0.29761744514739535,744.0,208.0,13.0,11.0,6.0,0.0
16.0,2.0,0.0,109.0,366.0,65.0,152.0,80.0,218.0,2.0,2.0,2.0,0.0,4.0,3.0,4.0,5.0,1.0,2.0,0.0,0.0,704.0,296.0,0.07566964285714285,0.10691964285714285,540.0,450.0,6.0,7.0,10.0,2.0
17.0,0.0,0.0,349.0,242.0,76.0,19.0,42.0,242.0,6.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,704.0,296.0,0.5588235294117647,0.7941176470588235,667.0,303.0,10.0,7.0,7.0,0.0
18.0,1.0,1.0,344.0,330.0,5.0,112.0,50.0,104.0,4.0,9.0,3.0,15.0,1.0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,175.0,825.0,0.1941176470588235,0.28647058823529414,679.0,266.0,16.0,28.0,2.0,2.0
19.0,1.0,0.0,276.0,169.0,94.0,85.0,204.0,99.0,9.0,1.0,3.0,8.0,16.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,527.0,473.0,0.44675324675324674,0.6207792207792208,539.0,388.0,13.0,28.0,3.0,3.0
20.0,0.0,0.0,182.0,273.0,110.0,246.0,126.0,50.0,2.0,5.0,0.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,336.0,664.0,0.6764705882352942,0.8235294117647058,565.0,422.0,7.0,9.0,4.0,4.0
21.0,1.0,0.0,447.0,141.0,97.0,97.0,46.0,164.0,4.0,3.0,2.0,6.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,761.0,239.0,0.4131868131868132,0.5626373626373626,685.0,307.0,9.0,13.0,1.0,1.0
22.0,0.0,0.0,273.0,616.0,0.0,11.0,80.0,16.0,0.0,10.0,0.0,1.0,4.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,734.0,266.0,0.7647058823529411,0.8529411764705882,889.0,107.0,10.0,7.0,14.0,0.0
23.0,1.0,0.0,283.0,118.0,125.0,148.0,44.0,238.0,8.0,13.0,2.0,11.0,1.0,17.0,0.0,2.0,2.0,2.0,0.0,3.0,783.0,217.0,0.04537815126050421,0.052100840336134456,526.0,430.0,23.0,29.0,4.0,5.0
