match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,0,27,170,166,0,0,599,2,9,5,0,0,17,1,1,1,0,0,0,654,346
1,0,2,65,127,244,56,52,419,1,5,3,2,0,12,2,3,0,3,2,3,499,501
2,0,0,151,227,227,156,11,162,8,5,9,5,0,13,1,5,3,0,0,0,567,433
3,0,2,128,227,57,65,0,505,7,3,1,2,0,11,1,0,3,1,0,1,414,586
4,1,1,48,264,224,0,0,418,1,7,11,0,0,10,4,5,5,0,0,0,487,513
5,2,1,341,118,61,52,3,403,7,2,4,0,1,12,1,1,2,2,1,0,541,459
6,1,2,254,274,7,0,93,288,5,10,0,0,3,14,1,3,1,0,1,0,740,260
7,1,0,57,278,381,0,0,240,1,13,4,0,0,8,0,3,2,0,0,0,427,573
8,2,2,142,170,122,0,0,456,7,11,5,0,0,19,2,1,2,0,0,0,285,715
9,4,1,257,78,170,34,0,396,11,3,8,1,0,21,4,2,1,0,0,0,696,304
10,1,1,60,269,109,0,0,533,5,10,0,0,0,13,2,3,4,0,0,0,381,619
11,2,0,254,218,198,0,0,259,3,5,5,0,0,14,4,6,4,0,0,0,661,339
12,0,0,244,198,382,0,0,151,7,2,6,0,0,10,6,2,4,0,0,0,924,76
13,0,0,167,63,270,46,0,431,11,3,1,1,0,19,1,2,3,1,0,1,111,889
14,0,0,206,284,303,0,0,158,3,15,2,0,0,6,4,7,9,0,0,0,1000,0
15,0,1,202,68,57,21,53,505,6,3,3,1,0,10,1,0,2,0,1,0,308,692
16,0,1,73,178,276,0,0,391,0,6,3,0,0,10,2,5,4,0,0,0,55,945
17,2,2,24,41,230,91,87,515,2,5,3,2,2,9,0,1,1,2,2,6,305,695
18,1,1,88,159,207,211,0,318,3,2,9,0,0,9,2,3,5,1,0,1,493,507
19,1,0,81,82,230,11,17,561,2,4,5,1,0,12,0,0,1,1,2,2,611,389
20,1,0,61,241,168,50,5,432,1,9,7,0,2,12,1,4,4,1,0,1,413,587
21,2,1,113,200,4,70,0,582,2,7,4,0,0,13,2,1,0,2,0,1,522,478
22,0,2,74,185,231,40,66,310,7,5,4,1,2,18,0,2,4,1,1,1,281,719
23,0,2,9,260,164,9,0,459,3,7,4,0,0,12,0,1,1,1,0,1,490,510
24,0,1,5,308,195,3,0,448,1,7,4,1,0,10,2,5,2,1,0,1,0,1000
25,0,1,70,230,218,0,0,433,3,7,10,0,0,16,0,2,4,0,0,0,328,672
26,2,2,74,132,206,80,26,461,5,11,5,2,3,12,1,2,3,0,0,1,677,323
27,0,0,314,73,170,0,0,356,6,1,12,0,0,26,1,1,2,0,0,0,446,554
28,1,2,246,90,101,0,0,476,7,2,5,0,0,10,6,4,1,0,0,0,577,423
29,0,1,222,59,329,32,0,311,3,4,2,0,0,7,0,2,3,1,0,0,844,156
30,1,0,122,237,114,0,4,339,4,7,7,0,1,14,3,3,0,0,0,0,558,442
31,0,3,124,140,156,90,0,398,4,4,4,1,0,12,0,2,2,2,0,2,617,383
32,1,2,129,106,134,14,65,522,1,8,3,2,2,10,2,2,3,1,3,3,398,602
33,1,2,136,299,24,55,0,472,3,5,2,1,0,10,1,2,1,1,0,2,355,645
34,0,2,38,29,334,220,4,312,4,1,5,2,3,9,1,1,0,1,0,1,826,174
35,2,3,168,126,212,16,0,460,6,4,2,1,0,13,1,1,2,0,0,1,279,721
36,0,0,63,166,488,0,4,271,3,2,9,0,1,11,1,2,3,0,0,0,756,244
37,0,4,56,88,53,19,1,743,5,3,10,3,1,17,0,1,0,1,0,2,355,645
38,1,0,87,58,283,44,0,519,3,5,4,2,0,9,1,3,5,1,0,2,228,772
39,0,0,67,386,118,27,32,191,6,18,1,4,1,22,4,3,3,4,0,2,549,451
40,1,3,212,264,107,18,31,342,7,2,6,1,4,7,4,6,2,2,1,1,365,635
41,1,1,90,232,6,118,0,476,9,9,2,5,0,20,1,2,0,2,0,2,628,372
42,1,1,67,166,150,36,2,494,3,9,0,1,0,9,1,0,1,0,1,2,583,417
43,2,0,185,183,190,229,0,174,1,4,3,2,0,7,5,3,4,4,0,3,849,151
44,0,2,197,102,0,78,0,543,16,1,0,4,0,15,2,2,0,2,0,0,621,379
45,0,0,37,251,540,0,0,153,0,7,5,0,0,8,0,6,5,0,0,0,643,357
46,1,0,248,166,273,20,102,166,10,1,6,4,1,10,5,3,4,0,1,0,570,430
47,0,1,153,223,133,13,47,357,4,7,3,0,1,13,5,6,3,1,0,2,381,619
48,0,1,66,107,486,41,0,276,3,0,4,0,0,11,1,3,2,1,0,0,0,1000
49,0,2,143,102,115,26,0,527,2,2,3,1,0,8,2,1,0,0,0,0,320,680
50,1,1,0,56,381,18,0,528,0,4,4,0,0,5,0,0,0,2,0,2,35,965
51,0,0,155,180,183,3,0,285,9,2,7,1,0,19,4,2,5,0,0,1,330,670
52,0,2,22,170,405,0,50,280,1,4,3,0,2,7,4,5,2,0,0,1,812,188
53,2,2,169,146,99,7,54,486,8,3,5,0,2,9,3,2,2,1,4,3,782,218
54,0,0,221,58,466,0,0,206,3,1,7,0,0,6,9,2,8,0,0,0,0,1000
55,0,0,44,291,95,43,16,488,1,13,4,1,3,13,1,2,2,1,0,3,482,518
56,1,2,87,93,366,4,0,364,4,4,9,0,0,14,2,4,5,1,0,1,473,527
57,1,2,75,207,296,45,0,313,5,7,4,2,0,10,5,1,5,1,0,2,596,404
58,0,0,198,147,75,101,0,467,5,8,4,2,0,13,1,2,0,1,0,0,103,897
59,0,2,139,170,344,41,0,304,1,2,4,0,0,7,2,3,4,1,0,0,880,120
60,0,3,88,48,65,128,25,623,6,5,2,1,0,16,2,1,0,2,1,3,267,733
61,1,0,230,15,59,0,26,647,4,1,1,0,1,6,1,0,2,0,0,1,440,560
62,0,1,64,187,230,103,0,376,1,6,16,5,0,12,1,2,1,1,0,1,288,712
63,0,0,16,386,93,1,17,434,1,6,7,1,3,10,0,1,2,0,2,0,302,698
64,0,2,79,47,187,47,0,579,4,4,8,1,0,11,2,3,0,0,0,1,340,660
65,1,1,229,137,0,9,62,428,21,5,0,0,4,16,1,0,0,1,0,3,515,485
