match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,0,7,183,226,118,69,352,1,9,5,2,1,9,347,653
1,0,2,130,261,151,24,0,378,2,5,15,7,0,12,452,548
2,0,2,170,240,76,113,23,279,9,6,2,3,1,13,614,386
3,0,1,187,281,289,0,53,188,4,0,1,0,0,5,403,597
4,0,0,272,160,143,2,2,388,11,3,1,0,1,20,213,787
5,1,3,86,276,123,54,0,359,1,8,8,0,0,14,731,269
6,0,1,421,93,113,0,0,256,8,5,2,0,0,13,973,27
7,0,2,74,210,264,63,0,328,0,7,11,2,0,17,127,873
8,2,2,48,214,305,31,0,303,3,4,8,1,0,16,192,808
9,0,0,180,157,154,37,4,459,2,5,3,0,1,9,102,898
10,0,0,195,220,160,30,0,190,5,13,8,2,0,19,967,33
11,0,0,342,150,62,0,0,392,3,10,8,0,0,15,646,354
12,1,0,102,511,112,1,0,251,3,5,4,1,0,13,212,788
13,2,2,64,244,135,0,0,524,9,4,3,0,0,20,467,533
14,1,2,60,79,30,11,37,774,3,2,6,0,2,9,569,431
15,0,2,98,60,107,206,0,509,5,4,4,3,0,8,305,695
16,1,0,194,61,77,63,35,516,16,4,1,0,1,24,394,606
17,4,0,112,43,107,72,0,554,3,2,8,1,0,15,555,445
18,1,2,121,162,89,0,4,532,4,3,5,0,2,8,93,907
19,1,0,127,263,221,37,0,317,5,3,15,3,0,20,441,559
20,1,4,165,169,88,0,0,520,8,4,1,0,0,11,176,824
21,0,3,118,88,16,224,49,476,11,2,4,4,0,16,264,736
22,0,1,72,162,187,33,0,544,1,3,4,0,0,6,360,640
23,0,1,261,94,152,87,0,343,4,7,3,2,0,13,587,413
24,0,3,135,169,124,128,0,378,5,3,6,1,0,12,474,526
25,1,1,141,232,149,91,0,370,5,5,3,1,0,8,510,490
26,0,1,216,173,218,0,0,362,7,3,11,0,0,17,709,291
27,2,3,49,89,250,10,24,562,1,5,12,2,1,11,447,553
28,1,1,102,225,278,0,0,359,4,4,4,0,0,8,199,801
29,1,3,79,244,115,9,0,544,1,7,5,1,0,7,536,464
30,2,3,139,117,24,5,6,685,7,4,3,0,1,15,348,652
31,1,1,94,142,183,64,0,507,5,7,9,3,0,15,118,882
32,1,2,272,167,153,0,0,390,2,1,9,0,0,13,65,935
33,1,2,116,285,131,32,16,350,1,8,5,2,0,8,585,415
34,1,0,106,285,86,40,0,416,5,5,10,0,0,11,490,510
35,1,0,194,137,216,1,0,409,9,5,4,1,0,20,711,289
36,1,2,143,129,236,81,41,312,4,7,16,8,2,13,724,276
37,0,1,64,222,282,38,0,370,2,1,6,1,0,10,308,692
38,2,0,135,239,301,0,0,300,6,10,1,0,0,17,408,592
39,1,1,192,216,256,19,1,222,8,6,2,1,1,13,262,738
40,1,1,170,186,87,87,16,395,5,5,5,1,1,16,680,320
41,1,0,99,140,238,4,0,387,2,4,16,0,0,15,459,541
42,1,2,120,150,161,7,48,490,13,6,6,1,0,24,475,525
43,0,0,177,108,218,39,0,365,10,4,8,7,0,17,171,829
44,1,1,105,194,291,0,29,335,1,8,10,0,2,13,867,133
45,0,2,88,395,148,33,1,314,3,11,1,4,0,7,615,385
46,2,0,123,26,364,0,97,300,4,4,18,0,9,14,850,150
47,1,1,119,221,247,0,0,374,1,1,8,0,0,10,219,781
48,0,0,49,199,85,27,33,584,4,2,3,0,0,8,652,348
49,0,2,227,125,170,33,3,402,5,8,9,9,1,8,603,397
