match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,0,0,167,151,6,0,6,340,23,3,0,0,1,28,2,1,1,0,0,0,805,195
1,0,0,331,15,74,92,273,155,20,0,1,2,19,5,0,1,1,3,1,5,924,76
2,3,0,338,180,0,28,51,360,9,4,0,0,1,11,2,2,0,1,0,0,709,291
3,0,1,138,161,134,186,69,129,9,12,10,4,6,6,6,3,2,0,0,1,688,312
4,2,0,118,118,53,59,1,427,12,4,0,8,1,22,0,0,1,4,0,2,402,598
5,0,1,171,228,75,24,90,335,9,3,1,0,0,14,5,4,1,0,3,2,931,69
6,1,0,308,217,8,0,0,324,13,13,2,0,0,24,2,6,2,0,0,0,679,321
7,3,1,227,240,28,0,21,435,8,5,0,0,4,10,2,2,2,0,0,0,539,461
8,4,1,203,220,31,79,1,446,2,7,1,1,0,10,6,4,1,0,1,1,551,449
9,2,3,140,227,78,67,0,475,6,7,3,1,0,11,2,4,2,3,0,3,594,406
10,1,0,116,246,197,69,131,186,8,7,10,1,12,5,4,4,3,0,3,1,888,112
11,0,0,11,20,0,54,0,71,1,8,0,9,0,0,0,1,0,0,0,0,1000,0
12,3,1,20,195,47,0,84,598,1,16,3,0,1,15,2,3,2,0,3,1,741,259
13,1,1,278,61,8,0,16,596,6,4,1,0,0,14,2,1,0,0,1,0,508,492
14,0,3,123,117,26,56,2,621,5,7,1,1,0,18,1,1,2,1,1,2,594,406
